default
闘技場ファンの男,Male Colosseum Fan
元Bランカー、侍使いのレックスの折れた刀に、\n元Cランカー、連弾魔術師シラクの魔法の杖。\n安いよ。安いよ。,A broken sword of the former B-rank samurai user; Rex; and the magic wand of the former C-rank dual-cast sorcerer; Shiraku. Cheap; very cheap!
ううむ、男性マスターのグッズはあんまり売れないね。\n最近みんな降格しちゃって、\n人気がないから困っちゃうよ。,Hmm; merchandise for the male masters just doesn't sell well anymore. Recently; everyone of them's been demoted; and their lack of popularity is becoming a problem!
・・・おや、また会ったね。\nあんたのサインは男マスターの中じゃ売れてるほうさ。これで\n３連勝だろう？あんたならもしかしたらって期待されてるのかもね。,...Oh; we meet again; eh? Your signature is one of the better-selling ones among the male masters. That's three wins in a row; right? Maybe they're expecting something from you; do you think?
おお、ありがとう！\nいやぁさすがは男の中の男だね。\n婆に優しい、それだからこんなに強いんだ。,Oh; thank you! Wow; you're truly a man among men. You're kind heart's why you're so strong. 
ほらこれがお礼のカードだ。\n今度は正真正銘レアカードだよ。\nたぶん強いよ。,Here; take this thank-you card. It's a genuine rare card this time. It even looks pretty strong!
{%%60036}を手に入れた！,Obtained {%%60036}!
侍使いのマスターがわたしに売っていったんだ。\n爆乳マスターのキャミーに負けて、いまじゃすっかり落ちぶれちまったが、\n強くていいマスターだったんだよ。,The samurai-using master sold it to me. He lost to the busty master Cammy; and has completely fallen from grace now. Still; he was a good and strong master!
男マスターの話をしてたらなんだか思い出しちまった。\nこんないいもの普段ならあげないんだけど、\nアンタなら上手く使いこなせるかもね。,Talking about the male masters reminded me I had it. I usually wouldn't give away something this good; but maybe you could make good use of it; right?
なんだい。あんたは男マスターの中だと一番けちかもね。\n女マスターに勝てたからってそんなじゃすぐ負けちまうよ。,Seriously? You might be the stingiest out of all the male masters I've seen. Even if you managed to beat a couple female masters; at this rate; you'll lose soon enough!
・・・おや、また会ったね。\nアンタに上げた刀のカード、使える相手が結構少ないらしいね。\nサムライとかニンジャってのは騎士や密偵のことらしいよ。,...Oh; we meet again. The sword card I gave you seems to have quite a few limitations on who can use it. Looks like samurai and ninja refer to knights and spies!
カードは色んな別世界につながってるらしいから、\n色んな呼び名があるんだろうね。\nどこかに金がたんまり手に入る世界はないのかね。行ってみたいもんだ,It seems that the cards connect to various parallel worlds; so there must be different names for them. Is there a world somewhere where you can easily get a ton of money? I'd love to visit.
蛇使いパトラがペットにしてる蛇の脱皮殻に、\nギャンブラーCランカー、キャミー選手が一回使ったコイン。,The shed skin of the snake that the snake charmer Patra keeps as a pet; and a coin used once by the C-rank gambler; Cammy!
さらにCランクに昇格目前、男なのに連勝中の\n期待のルーキーのサインもあるよ。\nほら、買った。買った。,There's also the signature of the promising rookie; who's on the verge of being promoted to C-rank and has been on a winning streak despite being a man! Buy it here; only place you can!
・・・おや、また会ったね。\nあんたに注目する人もだいぶ増えて、サインもいい感じに売れてるよ。\nいやぁわたしの目に狂いはなかったね。,...Oh; we meet again. More and more people are paying attention to you; and your autographs are selling quite well! I guess my judgment was spot on; don't you think?
おお、ありがとう！\nもうすぐCランクになる男はさすがだね。\nあんたみたいに優しい人にはきっといいことがあるよ。,Oh; thank you! Just what I'd expect from a man who's about to reach C-Rank. Someone kind like you will surely have good things come your way.
ほらこれがお礼のカードだ。\nあんたみたいな金の卵を産むにわとりのカードだよ。\n卵がずっと残ればお金儲けに使えるんだけどねぇ。,Here; this is a thank-you card. It's a card of a hen that lays golden eggs; kind of like you with your signatures! If the egg was real; I could've made a lot of money; don't you think?
{%%40328}を手に入れた！,Obtained {%%40328}!
なんだい。いつになくけちだね。\nCランクになれるからって、増長しちまったのかい？\nおお、やだやだ。,What's up? You're unusually stingy today. Have you gotten full of yourself just because you have a shot at becoming a C-rank? That's too bad.
・・・おや、また会ったね。\nにわとりはちゃんと働いてるかい？\nバトルが終わったら産んだ卵も消えちまうらしいからそこが残念だね。,...Oh; we meet again; eh? Is that chicken I gave you working out? It seems that the eggs it lays disappear after battle. Such a shame; don't you think?
まあそうじゃなければ\nカードでいくらでも何でも生み出せるからね。\nあたしらみたいな一般人は商売あがったりだったろうね。,I guess if they didn't; you could create just about anything and everything with cards. People like us; the common folk; would have been out of business; huh?
一般人にも生きる道を与えてくれた女神さまに感謝だよ。\nできればカードを使える魔力の方がほしかったけどね。,I'm grateful to the goddess for giving us ordinary people a way to live. If I could've; I would have preferred having the magical power to use cards though; you know?
Bランクマスターシルヴィア選手の最強カード、イージスの人形に、\nモルゲンのエース、Aランクマスターエイライラのハーピーの羽。\nどれも珍しいよ。,Here's the Aegis Doll; the strongest card of B-rank Master Sylvia! We also have a Harpy Feather from Morgen's ace; A-rank Master Eilaira! Rare items for sale!
さらに連戦連勝でCランクに昇格、\nあの「無敗」の最強ルーキーのサインもあるよ。\nほら、買った。買った。,What's more; I even have an autograph from the Undefeated Rookie who's been winning back-to-back and has been promoted to C-rank! Only place to get it is right here!
・・・おや、また会ったね。\nあんたに会いたかったんだ。見てごらんあんたのサインは大人気さ。\nやっぱりあんたは大物になるって思ってたよ。,...Oh; we meet again. I wanted to see you. Look; your signature is super popular. I knew you were going to be a big deal!
おお、ありがとう！\nさすが無敗でCランクになっただけあるね。\nあんたみたいに太っ腹なマスターはそうはいないよ。,Oh; thank you! Just what I'd expect from someone who made it to C-rank undefeated. There aren't many generous masters like you!
ほらこれがお礼のカードだ。\nキャミーに勝った強運なあんたにぴったりの、\nサイコロのカードだよ。,Here; this is a thank-you card. It's a dice card; perfect for someone lucky enough to beat Cammy!
{%%40330}を手に入れた！,Obtained {%%40330}!
なんだい。けちだね。\nCランクになって、人が変わっちまったのかい？\nおお、やだやだ。,What's up? You're being kinda stingy; aren't you? Did making it to C-rank change you? That's too bad.
・・・おや、また会ったね。サイコロのカードは使えているかい？\nあたしにゃよくわからないが、\nモンスターのレベルを変えるとかなんとか。,...Oh; we meet again. Have you gotten a chance to try out the dice card I gave you? I don't really understand how it works; but it's something about changing the monster's level or something?
運任せな分使い手を選びそうなカードだよね。\n強運で実力もあるあんたにゃぴったりだよ。,It seems like a card that relies on luck and might be picky about who can use it. It's perfect for someone like you who has both luck and skill!
おや、なんだい、けちなルーキーさまじゃないか。\n気が変わったのかい。\nサインを書いてくれれば、この珍しいカードをあげるよ。,Oh; what's this? Aren't you the stingy rookie? Have you changed your mind? If you give me your signature; I'll give you this rare card!
最近の売れ筋はこれ、あの無敗のルーキーのサインだよ。\n男の身なのに勝利に次ぐ勝利、\nCランクでも快進撃を続けてるあのルーキーだよ。,The recent bestseller is this; the signature of the Undefeated Rookie! Despite being a man; he keeps winning victory after victory; continuing his impressive run even into C-rank!
おお、ありがとう！\nやっぱりアンタはいい男だね。優しいし強いし、\nいやぁモルゲンで一番男前かもしれないね。,Oh; thank you! You really are a good man; aren't you? You're kind and strong; and you might just be the most handsome guy in Morgen; you know?
ほらこれがお礼のカードだ。\n昔ネネコがいらないってくれたネズミのカードだよ。\nとげとげしてるから気に入らないとか言ってたね。,Here; this is a thank-you card. It's a mouse card that Neneko didn't want and gave to me a long time ago. I think she said she didn't like it because it was 'too prickly.'
{%%60041}を手に入れた！,Obtained {%%60041}!
なんだい。いまさらけちけちしちゃってさ。つれないね。\nたくさん勝って人気も出たからって優しい心をなくしちまったのかい？\nおお、やだやだ。,What's up? Being stingy now; huh? So cold. Just because you've won a lot and gotten really popular; you've lost your kind heart? Oh; how awful.
・・・おや、また会ったね。\nネズミは役に立ってるかい？\nネズミは小さくてかわいいよねぇ。あたしゃわりと好きだよ。,...Oh; we meet again. Is the mouse being useful? Mice are small and cute; aren't they? I quite like them!
ちょろちょろしてて意地汚くて、なんだか親近感がわくじゃないか。\n人間だって似たようなものだろう？\nあたしゃそう思うね。,They're always scurrying around; being a bit greedy; yet somehow; they feel relatable; don't you think? Humans are pretty similar; right? That's what I think.
あら、{主人公}、あなたも闘技場に挑戦するの？,Oh; {主人公}; are you also here to challenge the colosseum?
闘技場は手ごわいわよ。\nわたしもDランカーだから、何度も試合に挑んでいるけれど、\nなかなか勝率５割を上回れないのよね。,The colosseum is tough. I'm a D-ranker too; and I've fought a bunch of matches; but I can't seem to get higher than a win-rate of 50%.
これから初試合の申し込み？わたしの友達の「オクタ」って子も\nさっき申し込んだって言ってたから、\nもしかしたらあなたと当たるかも。,Are you signing up for your first match now? My friend Octa just signed up too; so you might end up facing each other.
背は小さくてかわいらしい子なんだけど、\n相手のカードを水属性に替えちゃうトリッキーなデッキで\n結構強いわよ。あなたに勝てるかしら。,She's small and cute; but she has a tricky deck that can change the opponent's cards to water attribute; and she's pretty strong. I wonder if she can beat you.
わたしは闘技場マニア。\n闘技場に出場しているすべてのカードマスターの情報を知っている\n筋金入りの闘技場オタクさ！,I'm a colosseum fanatic. I'm a hardcore nerd who knows everything about all the cardmasters participating in the colosseum!
対戦相手の情報が知りたければ、ボクが教えてあげよう。\nなんでも聞くといいよ！,If you want to know about your opponent; I can tell you. Just ask me anything!
Dランクマスターの情報が知りたい,I want to know about a D-rank master.
Dランクの誰について知りたいんだい？,Which D-rank character do you want to know about?
オクタ,Octa
ミレーヌ,Mireille
ドワン,Dwan
パトラ,Patra
あ、あの・・・。あなたがあの{主人公}選手ですか？\nうわぁー、ほんものだ。,Uh; um... Are you {主人公}? Wow; it's really you.
お母さんから、エッチなのはダメって言われるから、\n試合は見れてないんですけど、\n話ですごく勝ってる男のマスターがいるって聞いてて・・・。,My mom told me that I'm not allowed to do anything inappropriate; so I haven't been able to watch any matches; but I've heard that there's a male master who's winning a lot...
僕もカードマスターになりたいんです！\n握手してください！{主人公}選手みたいになれるように頑張ります！,I want to become a cardmaster; too! Please shake my hand! I'll do my best to become just like you!
