default
ヤツメ,雅次
ふん、お前がわたしの名を呼ぶなら、\nわたしもお前の名を呼んでやらないとな。,ふん、お前がわたしの名を呼ぶなら、\nわたしもお前の名を呼んでやらないとな。
{主人公}…❤{主人公}…❤{主人公}…❤\nこれから、かわいく仕えろよ。\nほらほらほら❤,{主人公}…❤{主人公}…❤{主人公}…❤\nこれから、かわいく仕えろよ。\nほらほらほら❤
はひぃっ…❤あうあっ…❤❤ヤツメさまぁ…❤❤,はひぃっ…❤あうあっ…❤❤ヤツメさまぁ…❤❤
蜘蛛糸の繭の中、ヤツメにカラカラになるまで搾り取られた僕は、すっかり彼女の虜になってしまった。,蜘蛛糸の繭の中、ヤツメにカラカラになるまで搾り取られた僕は、すっかり彼女の虜になってしまった。
彼女の手に口づけをして誓ったように、その後僕は彼女のペットとして過ごし・・・。,彼女の手に口づけをして誓ったように、その後僕は彼女のペットとして過ごし・・・。
彼女の家の一室をあてがわれてそこに住むことになった。,彼女の家の一室をあてがわれてそこに住むことになった。
彼女が家にいないときは家事をしたり、彼女の書類の整理をし、彼女が家に戻ってきたときには彼女の疲れた脚をマッサージしてほぐしたりした。,彼女が家にいないときは家事をしたり、彼女の書類の整理をし、彼女が家に戻ってきたときには彼女の疲れた脚をマッサージしてほぐしたりした。
僕は恋人というわけではない。彼女の僕に対する扱いは時にぞんざいで、召使いのように理不尽な申しつけを受けることも多かったけれど・・・,僕は恋人というわけではない。彼女の僕に対する扱いは時にぞんざいで、召使いのように理不尽な申しつけを受けることも多かったけれど・・・
彼女は僕が壊れてしまうような無理はさせず、また時折僕のことを脚で可愛がってくれるのだった。,彼女は僕が壊れてしまうような無理はさせず、また時折僕のことを脚で可愛がってくれるのだった。
こうして僕はヤツメに心酔してしまい、これまでの修行のことなど忘れ、そのまま彼女のペットとして一生を終えることになった。僕の冒険はここで幕を閉じたのだった。,こうして僕はヤツメに心酔してしまい、これまでの修行のことなど忘れ、そのまま彼女のペットとして一生を終えることになった。僕の冒険はここで幕を閉じたのだった。
いい勝負をしましょう！,來一場好對戰吧！
なくことになるのはそっちですよ！,會哭的人是妳！
足で気持ちよくしてほしい,足で気持ちよくしてほしい
ふとももで気持ちよくしてほしい,ふとももで気持ちよくしてほしい
闘技場に挑戦する(必要ランクポイント:{$needPoint}),挑戰競技場(需要階級積分:{$needPoint})
今はやめておく,現在先不要
挑戦するために必要なランクポイントに達していません(現在ランクポイント:{ランクポイント})。,未達到挑戰下一名選手需要的階級積分(目前階級積分:{ランクポイント})。
