default
フラワー,葉花
我慢なんてする必要ないんだよー？おっぱい見ながら好きなだけシコシコしていいよ❤,我慢なんてする必要ないんだよー？おっぱい見ながら好きなだけシコシコしていいよ❤
本当に始めちゃった❤なさけなーい❤ちょろすぎー❤,本当に始めちゃった❤なさけなーい❤ちょろすぎー❤
うううっ…。,うううっ…。
でも、わたしはちょろいの大好きだからー、サービスしてあげるね❤,でも、わたしはちょろいの大好きだからー、サービスしてあげるね❤
ほらぁ。わたしの胸の谷間❤たくさん見ながらシコシコしていいよ❤,ほらぁ。わたしの胸の谷間❤たくさん見ながらシコシコしていいよ❤
手のしごく速さあがってるー❤いいよー、その調子でシコシコしようね❤,手のしごく速さあがってるー❤いいよー、その調子でシコシコしようね❤
おっぱい見ながらシコシコ気持ちいいねー❤ほらほら、もっと見て❤,おっぱい見ながらシコシコ気持ちいいねー❤ほらほら、もっと見て❤
特別サービスだよ❤谷間に集中して、じっと見つめて❤,特別サービスだよ❤谷間に集中して、じっと見つめて❤
ちょろマゾおちんちん気持ちいいね❤ほらほら、もっと早くシコシコしないと谷間が見えなくなっちゃうぞー❤,ちょろマゾおちんちん気持ちいいね❤ほらほら、もっと早くシコシコしないと谷間が見えなくなっちゃうぞー❤
もうでちゃう？なら谷間にだしていいよー❤キミのエナジー、わたしのおっぱいに捧げちゃお❤,もうでちゃう？なら谷間にだしていいよー❤キミのエナジー、わたしのおっぱいに捧げちゃお❤
ほら❤ほらほら❤ちゃ～んと谷間を狙って❤精液、だして❤,ほら❤ほらほら❤ちゃ～んと谷間を狙って❤精液、だして❤
あはは❤すごい量❤谷間を見せてるだけなのに、勝手にシコシコしてエナジーを捧げてくれるなんて、本当にちょろい❤,あはは❤すごい量❤谷間を見せてるだけなのに、勝手にシコシコしてエナジーを捧げてくれるなんて、本当にちょろい❤
くすくす❤他の人もシコシコしたくなったらいつでもしていいからね。その時は谷間、みせてあげる❤,くすくす❤他の人もシコシコしたくなったらいつでもしていいからね。その時は谷間、みせてあげる❤
あはは❤キミもわたしの大きいおっぱい見てたら我慢できなくなっちゃった？,あはは❤キミもわたしの大きいおっぱい見てたら我慢できなくなっちゃった？
我慢なんてする必要ないんだよー？キミも仲間みたいにおっぱい見ながら好きなだけシコシコしていいよ❤,我慢なんてする必要ないんだよー？キミも仲間みたいにおっぱい見ながら好きなだけシコシコしていいよ❤
あはは❤キミもすごい量❤谷間を見せてるだけなのに、勝手にシコシコしてエナジーを捧げてくれるなんて、本当にちょろい❤,あはは❤キミもすごい量❤谷間を見せてるだけなのに、勝手にシコシコしてエナジーを捧げてくれるなんて、本当にちょろい❤
あーあ、仲間のマスターもいるのにオナニーで自爆しちゃった❤人間の男っておちんちんに素直すぎでしょ。バカみたいだね❤くすくす❤,あーあ、仲間のマスターもいるのにオナニーで自爆しちゃった❤人間の男っておちんちんに素直すぎでしょ。バカみたいだね❤くすくす❤
あは、パンツですりすりしているだけなのに、もうイっちゃったんだー❤サキュバスにこんな恥ずかしい形で負けるなんてみじめー❤くすくす❤,あは、パンツですりすりしているだけなのに、もうイっちゃったんだー❤サキュバスにこんな恥ずかしい形で負けるなんてみじめー❤くすくす❤
んふふ❤おっぱいにたくさん出てる。パイズリに全然我慢できなかったねー。くすくす❤,んふふ❤おっぱいにたくさん出てる。パイズリに全然我慢できなかったねー。くすくす❤
キノコ使いのサキュバスは、主人公が動けなくなったのを見ると、スライム使いのサキュバスと戦うエルルに手下のキノコ娘たちを差し向けた。,キノコ使いのサキュバスは、主人公が動けなくなったのを見ると、スライム使いのサキュバスと戦うエルルに手下のキノコ娘たちを差し向けた。
ふたりのサキュバスに挟み撃ちをされてしまったエルルに成すすべはなく、あっという間に組み伏せられてしまう。,ふたりのサキュバスに挟み撃ちをされてしまったエルルに成すすべはなく、あっという間に組み伏せられてしまう。
必死の抵抗を試みるエルルだったが、スライム使いのサキュバスに唇を奪われ、おとなしくなってしまった。彼女がどうなってしまうのか。僕にはわからない。,必死の抵抗を試みるエルルだったが、スライム使いのサキュバスに唇を奪われ、おとなしくなってしまった。彼女がどうなってしまうのか。僕にはわからない。
僕はエルルが連れ去られていく様子を、快感にしびれぼんやりとした頭の中で、ただ見ていることしかできなかった。,僕はエルルが連れ去られていく様子を、快感にしびれぼんやりとした頭の中で、ただ見ていることしかできなかった。
そんな・・・。エルルさん・・・。,そんな・・・。エルルさん・・・。
くすくす❤マスターくんがわたしに負けたせいで仲間の女の子も捕まっちゃったね❤,くすくす❤マスターくんがわたしに負けたせいで仲間の女の子も捕まっちゃったね❤
あの子がどうなるのか気になるの？自分でオナニーして負けちゃったくせに❤いまさらカッコつけても遅いんじゃないのかなー❤,あの子がどうなるのか気になるの？自分でオナニーして負けちゃったくせに❤いまさらカッコつけても遅いんじゃないのかなー❤
あの子がどうなるのか気になるの？おっぱいに負けてどぴゅどぴゅしちゃったくせに、いまさら仲間のことを気にしても遅いんじゃないかなー❤,あの子がどうなるのか気になるの？おっぱいに負けてどぴゅどぴゅしちゃったくせに、いまさら仲間のことを気にしても遅いんじゃないかなー❤
あの子がどうなるのか気になるの？パンツ擦られて射精しちゃう、よわマゾのくせに❤いまさらカッコつけても遅いんじゃないのかなー❤,あの子がどうなるのか気になるの？パンツ擦られて射精しちゃう、よわマゾのくせに❤いまさらカッコつけても遅いんじゃないのかなー❤
どうせマスターくんは今からわたしに吸い殺されちゃうんだから。考えたってムダ❤,どうせマスターくんは今からわたしに吸い殺されちゃうんだから。考えたってムダ❤
ほら、まずはおちんちんをおっぱいで挟んじゃいまーす❤ぎゅ～っ❤,ほら、まずはおちんちんをおっぱいで挟んじゃいまーす❤ぎゅ～っ❤
ああ・・・❤やわらか・・・❤,ああ・・・❤やわらか・・・❤
あーあ、マスターくんの顔とろけちゃった❤ちょっとパイズリされただけでとろけっちゃうよわよわおちんちんで、よくサキュバスと戦おうと思ったね？,あーあ、マスターくんの顔とろけちゃった❤ちょっとパイズリされただけでとろけっちゃうよわよわおちんちんで、よくサキュバスと戦おうと思ったね？
仲間の女の子を捕まえたわるーいサキュバス相手なのに、あん❤あん❤って喘ぐことしかできずに、腰がびくびくしちゃってる。もっとパイズリされたいんだよね？なさけなーい❤,仲間の女の子を捕まえたわるーいサキュバス相手なのに、あん❤あん❤って喘ぐことしかできずに、腰がびくびくしちゃってる。もっとパイズリされたいんだよね？なさけなーい❤
わたし、あの子にごめんなさいした方がいいと思うな。そう思わない？ねぇ❤ねぇねぇ❤,わたし、あの子にごめんなさいした方がいいと思うな。そう思わない？ねぇ❤ねぇねぇ❤
あうっ❤ううっ・・・❤,あうっ❤ううっ・・・❤
ボクのちょろマゾおちんちんのせいですって❤ごめんなさいって❤ほーら、早くあの子に謝って❤,ボクのちょろマゾおちんちんのせいですって❤ごめんなさいって❤ほーら、早くあの子に謝って❤
はううっ❤、ごめっ❤エルルさっ❤ごめんなさい・・・❤,はううっ❤、ごめっ❤エルルさっ❤ごめんなさい・・・❤
あはは、マスターくん。泣きそうな顔になってる❤いまさら罪悪感でも感じてるのかな？もう手遅れなのに。,あはは、マスターくん。泣きそうな顔になってる❤いまさら罪悪感でも感じてるのかな？もう手遅れなのに。
精液ってねぇ、心の中がぐちゃぐちゃの時の方がおいしいんだよ？いまのマスターくんの精液はとってもおいしそう❤,精液ってねぇ、心の中がぐちゃぐちゃの時の方がおいしいんだよ？いまのマスターくんの精液はとってもおいしそう❤
罪悪感があってもさぁ、おちんちんおっぱいでズリズリされたら、気持ちよくて気持ちよくてどうにもならないんだよね❤,罪悪感があってもさぁ、おちんちんおっぱいでズリズリされたら、気持ちよくて気持ちよくてどうにもならないんだよね❤
わたしのおっぱい❤とっても柔らかいもんね❤この前挟んであげた村の男の人もすぐにあへぇ❤ってなさけなーい喘ぎ声あげちゃったけど、マスターくんも同じ❤,わたしのおっぱい❤とっても柔らかいもんね❤この前挟んであげた村の男の人もすぐにあへぇ❤ってなさけなーい喘ぎ声あげちゃったけど、マスターくんも同じ❤
頑張って修行してきたのに普通の人と変わらないんだよ？くすくす❤今までの努力、みーんな無駄だったのかもねー❤,頑張って修行してきたのに普通の人と変わらないんだよ？くすくす❤今までの努力、みーんな無駄だったのかもねー❤
む、むだじゃっ・・・❤あっ❤うひあっ、やめっ❤,む、むだじゃっ・・・❤あっ❤うひあっ、やめっ❤
違うっていうなら早く反撃してみせてよ❤ほらほら❤はーやーくー❤はーやーくぅ❤,違うっていうなら早く反撃してみせてよ❤ほらほら❤はーやーくー❤はーやーくぅ❤
いつまでもわたしにパイズリされてないで❤おちんちんの先っぽ、いっぱいズリズリされてないでさぁ❤,いつまでもわたしにパイズリされてないで❤おちんちんの先っぽ、いっぱいズリズリされてないでさぁ❤
あっ、あひぃっ❤あぐぅ、ううっ・・・❤,あっ、あひぃっ❤あぐぅ、ううっ・・・❤
あはは❤自分から腰、へこへこしちゃってる❤これが反撃なの？もっと気持ちよくしてーって、言ってるだけじゃないのかな❤,あはは❤自分から腰、へこへこしちゃってる❤これが反撃なの？もっと気持ちよくしてーって、言ってるだけじゃないのかな❤
だって・・・❤うっ❤ううっ❤きもち、よすぎてぇ・・・❤,だって・・・❤うっ❤ううっ❤きもち、よすぎてぇ・・・❤
あーあ、完全に顔がとろけちゃった❤おっぱいに降伏❤仲間も裏切って、マスターとしての頑張りも捨てて、へこへこパイズリおねだり❤,あーあ、完全に顔がとろけちゃった❤おっぱいに降伏❤仲間も裏切って、マスターとしての頑張りも捨てて、へこへこパイズリおねだり❤
もう限界だね❤ちょっとパイズリしてあげただけなのに、ちょろマゾおちんちんがビクビクしてる❤射精１０秒前って感じ？,もう限界だね❤ちょっとパイズリしてあげただけなのに、ちょろマゾおちんちんがビクビクしてる❤射精１０秒前って感じ？
わたしってとってもやさしいからさー、きもちよーく射精できるるように思いっきりぎゅ～ってしてあげるね❤,わたしってとってもやさしいからさー、きもちよーく射精できるるように思いっきりぎゅ～ってしてあげるね❤
マスターくんも自分で腰、突き上げて・・・おっぱいの中に全部だして❤ほら、イケ❤マーゾ❤,マスターくんも自分で腰、突き上げて・・・おっぱいの中に全部だして❤ほら、イケ❤マーゾ❤
あへぇ❤❤あっ、でる、あああっ・・・❤,あへぇ❤❤あっ、でる、あああっ・・・❤
あひいっ、とま、とまらな、あへぇあっ・・・❤,あひいっ、とま、とまらな、あへぇあっ・・・❤
これで打ち止めかな？おっぱいの中、べとべとになっちゃった❤んー❤魔力の質もいいし、仲間を裏切った罪悪感でいい味してる❤,これで打ち止めかな？おっぱいの中、べとべとになっちゃった❤んー❤魔力の質もいいし、仲間を裏切った罪悪感でいい味してる❤
このまま吸い殺しちゃおうと思ったけど、これならお持ち帰りしてもいいかも。マスターくんの泣きそうな顔、面白かったし❤,このまま吸い殺しちゃおうと思ったけど、これならお持ち帰りしてもいいかも。マスターくんの泣きそうな顔、面白かったし❤
よいしょっと。そうだ❤帰ったらあの子の前でしてみようかな❤とっても楽しそう、あはは❤,よいしょっと。そうだ❤帰ったらあの子の前でしてみようかな❤とっても楽しそう、あはは❤
こうして主人公は、探索中に遭遇したキノコ使いの淫魔に負け、エルルと共に連れ去られてしまった。,こうして主人公は、探索中に遭遇したキノコ使いの淫魔に負け、エルルと共に連れ去られてしまった。
ギルドが異変に気付いた時には遅く、主人公たちの足取りは完全に途絶えてしまっていた。,ギルドが異変に気付いた時には遅く、主人公たちの足取りは完全に途絶えてしまっていた。
その後、彼らの姿を見た者はいない。主人公の妹を探す冒険はこうして終わりを迎えたのだった。,その後、彼らの姿を見た者はいない。主人公の妹を探す冒険はこうして終わりを迎えたのだった。
導入イベントをスキップしますか？,要跳過劇情嗎？
OPイベントをスキップしますか？,要跳過事件嗎？
はい,要
いいえ,不要
Dランクの昇格に来ました。,為了升級到D級。
そのサキュバスって…。,那個魅魔是…。
なるほど。,原來如此。
ここでサキュバスに会いました。,就是這樣這樣碰到魅魔的。
新しい？,新的？
わかりました！,我了解了！
こんな相手楽勝です！,這種對手輕輕鬆鬆！
無事倒せました。,順利打倒了。
カードマスターがこの街に集まっているから…？,因為卡片戰士聚集在這裡的關係嗎…？
ただの偶然…？,只是個偶然…？
僕がこの街にいるから…？,因為我在這裡嗎…？
サキュバスパイズリ,サキュバスパイズリ
サキュバスグラインド,サキュバスグラインド
なんでも,なんでも
彼女を突き飛ばし、とどめを刺した,撞飛然後打倒她
欲望に負け、体から力を抜いてしまった,敗給慾望不抵抗了
