default
ロリ巨乳サキュバス,羅莉巨乳魅魔
こうして僕は、闘技場の試合で{自分}に敗れ、みじめな姿をさらしてしまったのだった。,こうして僕は、闘技場の試合で{自分}に敗れ、みじめな姿をさらしてしまったのだった。
無敗のルーキーをダシにした{自分プレイヤー}の作戦は相当うまく行ったらしく、翌日リュカ商会のカードショップには行列ができていた。FランクやEランクのカードマスターたちの他、一般市民までもカードを買いに並んでいるほどだった。,無敗のルーキーをダシにした{自分プレイヤー}の作戦は相当うまく行ったらしく、翌日リュカ商会のカードショップには行列ができていた。FランクやEランクのカードマスターたちの他、一般市民までもカードを買いに並んでいるほどだった。
なんでも、「数人で魔力を合わせて１体のサキュバスモンスターを召喚すれば、それで無敗のルーキーですら倒せる」と宣伝しているのだそうだ。悔しくてたまらない話だが、下級モンスター１体に負けてしまった以上、反論もできず、僕はほぞをかむことしかできなかった。,なんでも、「数人で魔力を合わせて１体のサキュバスモンスターを召喚すれば、それで無敗のルーキーですら倒せる」と宣伝しているのだそうだ。悔しくてたまらない話だが、下級モンスター１体に負けてしまった以上、反論もできず、僕はほぞをかむことしかできなかった。
それからしばらくして,それからしばらくして
サキュバスカードを使っている人たちの様子がおかしいという話が、ギルドをはじめあちこちに上がり始めた。,サキュバスカードを使っている人たちの様子がおかしいという話が、ギルドをはじめあちこちに上がり始めた。
それまで真面目でおとなしかった人までも、まるで人が変わったように男性をさげすむようになり、場合によっては命に関わるレベルまで人からエナジーを吸い取るという事件が頻発しているのだそうだ。,それまで真面目でおとなしかった人までも、まるで人が変わったように男性をさげすむようになり、場合によっては命に関わるレベルまで人からエナジーを吸い取るという事件が頻発しているのだそうだ。
僕はギルドからクエストを受け、その調査のために、リュカ商会に向かったのだが・・・。,僕はギルドからクエストを受け、その調査のために、リュカ商会に向かったのだが・・・。
はあ？サキュバスのカードが悪事の原因？\nふふ、わたしに負けたのが悔しすぎて、\nとうとう変な文句まで言いに来たのかしら❤,はあ？サキュバスのカードが悪事の原因？\nふふ、わたしに負けたのが悔しすぎて、\nとうとう変な文句まで言いに来たのかしら❤
ギルドから正式に依頼が出ている？知らないわよ、そんなの。\nとはいえ、あれこれ調査に来られてもめんどくさいし、\n出なさい、{自分}♪,ギルドから正式に依頼が出ている？知らないわよ、そんなの。\nとはいえ、あれこれ調査に来られてもめんどくさいし、\n出なさい、{自分}♪
んー、なになにー？\nあー、この間のザコマスターくんだぁ❤\nひさしぶり～♪,んー、なになにー？\nあー、この間のザコマスターくんだぁ❤\nひさしぶり～♪
{自分}、さっさとその男を黙らせなさい。\nついでに、うちの商会に都合のいい駒にでもなってもらおうかしら。,{自分}、さっさとその男を黙らせなさい。\nついでに、うちの商会に都合のいい駒にでもなってもらおうかしら。
エロいことには弱いけど、一応は強いマスターなんでしょ？\n危険なダンジョンの素材を取ってくる、ちょうどいい戦力がほしかったのよ。,エロいことには弱いけど、一応は強いマスターなんでしょ？\n危険なダンジョンの素材を取ってくる、ちょうどいい戦力がほしかったのよ。
えっとー、マスターくんを、\nわたしたちの言うことを聞くワンちゃんにしちゃえばいいの？\nりょうかーい♪,えっとー、マスターくんを、\nわたしたちの言うことを聞くワンちゃんにしちゃえばいいの？\nりょうかーい♪
それじゃ、１０秒でマスターくんをちょうきょうしちゃいまーす❤\nだっぷ～ん♪,それじゃ、１０秒でマスターくんをちょうきょうしちゃいまーす❤\nだっぷ～ん♪
あう、はうぅう・・・❤❤,あう、はうぅう・・・❤❤
くすくす❤わたしのマスターがわたしを召喚したのにぃ、\nカードもかまえないでずっとわたしのおっぱい見てたよねー❤,くすくす❤わたしのマスターがわたしを召喚したのにぃ、\nカードもかまえないでずっとわたしのおっぱい見てたよねー❤
ほらぁ、ザコマスターくんがボコボコに負けちゃった、\nさいきょうおっぱいだよー❤\nまたシコっていいよ～❤きゃはは❤,ほらぁ、ザコマスターくんがボコボコに負けちゃった、\nさいきょうおっぱいだよー❤\nまたシコっていいよ～❤きゃはは❤
あっ、ああっ・・・❤❤,あっ、ああっ・・・❤❤
ぷぷっ、やっぱり手がおちんちんに伸びちゃうねー❤\nこのまま放っておいても勝てるけど、\n今回はすぐちょうきょうしろって命令だからぁ・・・❤,ぷぷっ、やっぱり手がおちんちんに伸びちゃうねー❤\nこのまま放っておいても勝てるけど、\n今回はすぐちょうきょうしろって命令だからぁ・・・❤
はい❤おっぱいどーぞー❤\n顔を挟んでぱふぱふぱふ～❤,はい❤おっぱいどーぞー❤\n顔を挟んでぱふぱふぱふ～❤
はへぇ、あっ、あっ、おっぱい、おっぱいがぁ・・・❤❤,はへぇ、あっ、あっ、おっぱい、おっぱいがぁ・・・❤❤
ぷぷぷ❤\nお顔ぱふぱふされて一瞬でふにゃふにゃ～❤\nカードもぜーんぶ床に落としちゃった❤,ぷぷぷ❤\nお顔ぱふぱふされて一瞬でふにゃふにゃ～❤\nカードもぜーんぶ床に落としちゃった❤
あっ、おちんちんが膨らんでる～❤\nもうイくんだ❤ざーこ❤,あっ、おちんちんが膨らんでる～❤\nもうイくんだ❤ざーこ❤
その後、しばらくして谷間から解放された僕は、完全に蕩け切った顔で地面に崩れ落ち、目にはハートを浮かべていたという。,その後、しばらくして谷間から解放された僕は、完全に蕩け切った顔で地面に崩れ落ち、目にはハートを浮かべていたという。
途方もない快楽を脳に押し付けられ、僕は{自分}と{自分プレイヤー}に対して心からの忠誠を誓ってしまった。ギルドには「何の問題もなかった」とだけ報告して、僕は彼女たちの都合のいい駒として残りの人生を過ごすことになった。,途方もない快楽を脳に押し付けられ、僕は{自分}と{自分プレイヤー}に対して心からの忠誠を誓ってしまった。ギルドには「何の問題もなかった」とだけ報告して、僕は彼女たちの都合のいい駒として残りの人生を過ごすことになった。
危険なダンジョンや山岳地帯に送り込まれても、たいした報酬はもらえない。金額で言えば、その辺に薬草採取に行くのと変わらないはした金だけが支払われる。,危険なダンジョンや山岳地帯に送り込まれても、たいした報酬はもらえない。金額で言えば、その辺に薬草採取に行くのと変わらないはした金だけが支払われる。
しかし、それに不満を持つことはなかった。{自分}のために、働けるのだ。これ以上の幸福なことはない。あのおっぱいのためなら、僕の人生なんて・・・。,しかし、それに不満を持つことはなかった。{自分}のために、働けるのだ。これ以上の幸福なことはない。あのおっぱいのためなら、僕の人生なんて・・・。
こうして妹を救うためにＢランクにまで昇りつめた主人公の物語は、下級サキュバスの誘惑に屈し、その奴隷に落ちて、あっけなくその幕を閉じたのだった。,こうして妹を救うためにＢランクにまで昇りつめた主人公の物語は、下級サキュバスの誘惑に屈し、その奴隷に落ちて、あっけなくその幕を閉じたのだった。
きゃはは❤おちんちんシコシコ❤気持ちよさそうだね～❤\nよわよわ早漏チンポだと、自分の手でも\nそんなとろけた顔になっちゃうんだ～❤,きゃはは❤おちんちんシコシコ❤気持ちよさそうだね～❤\nよわよわ早漏チンポだと、自分の手でも\nそんなとろけた顔になっちゃうんだ～❤
きゃは❤お兄さん、早ーい❤２０秒ぐらいで射精しちゃった❤\n早漏チンポだと長く楽しめなくて残念だねー❤\nま、とっても気持ちよさそうだけど❤,きゃは❤お兄さん、早ーい❤２０秒ぐらいで射精しちゃった❤\n早漏チンポだと長く楽しめなくて残念だねー❤\nま、とっても気持ちよさそうだけど❤
おちんちん,おちんちん
かお,かお
誘惑を無視して攻撃した,誘惑を無視して攻撃した
腰を突き出してしまった,腰を突き出してしまった
