default
ミレーヌ,米蓮
あはん、わたしの勝ちね❤\nおっぱいでオナニー❤気持ちよく負けれてよかったじゃない❤ふふふ❤,あはん、わたしの勝ちね❤\nおっぱいでオナニー❤気持ちよく負けれてよかったじゃない❤ふふふ❤
あん、こんなにおっぱいに出して❤\nわたしのパイズリ、最高だったでしょ？\nうぶなルーキーくんじゃ耐えられないわよね❤ふふふ❤,あん、こんなにおっぱいに出して❤\nわたしのパイズリ、最高だったでしょ？\nうぶなルーキーくんじゃ耐えられないわよね❤ふふふ❤
あは、おっぱい見せられただけで射精しちゃったの？\nほんとにうぶなのね❤かわいい❤,あは、おっぱい見せられただけで射精しちゃったの？\nほんとにうぶなのね❤かわいい❤
決着ー！！勝者はミレーヌ選手！,決着ー！！勝者はミレーヌ選手！
期待のルーキーもミレーヌ選手の爆乳には勝てなかった！\nまさかの開始直後のオナニーで自滅してしまいました！,期待のルーキーもミレーヌ選手の爆乳には勝てなかった！\nまさかの開始直後のオナニーで自滅してしまいました！
試合が始まる前からおっぱいに見とれていただけに、\nある意味予想できた結末かもしれません。\nいやー、この負け方はちょっと恥ずかしいですね。,試合が始まる前からおっぱいに見とれていただけに、\nある意味予想できた結末かもしれません。\nいやー、この負け方はちょっと恥ずかしいですね。
ミレーヌ選手に負ける男性マスターは多いですが、\n始まってすぐにオナニーとなると珍しい。\nみなの期待はどこへやらおっぱいの前にすべてを忘れてしまったようです！,ミレーヌ選手に負ける男性マスターは多いですが、\n始まってすぐにオナニーとなると珍しい。\nみなの期待はどこへやらおっぱいの前にすべてを忘れてしまったようです！
期待のルーキーもミレーヌ選手の爆乳には勝てなかった。\n最後には我慢できず自らオナニーして負けてしまいました！,期待のルーキーもミレーヌ選手の爆乳には勝てなかった。\n最後には我慢できず自らオナニーして負けてしまいました！
ミレーヌ選手の体力も残りわずかというところ、\nふらふらと彼女に近づいたかと思うと、まさかの自滅。試合中に揺れる胸を見て理性が耐え切れなくなったというところでしょうか。,ミレーヌ選手の体力も残りわずかというところ、\nふらふらと彼女に近づいたかと思うと、まさかの自滅。試合中に揺れる胸を見て理性が耐え切れなくなったというところでしょうか。
{主人公}選手も少しは粘りましたが、\nミレーヌ選手はまだまだ余裕の表情です。うぶなルーキーにはミレーヌ選手の色気は荷が重かったのかもしれません！,{主人公}選手も少しは粘りましたが、\nミレーヌ選手はまだまだ余裕の表情です。うぶなルーキーにはミレーヌ選手の色気は荷が重かったのかもしれません！
さすがはミレーヌ選手、{主人公}選手を胸で挟んだと思うと\nあっという間にイかせてしまった！\n{主人公}選手はほとんど抵抗もできず搾り取られてしまいました！,さすがはミレーヌ選手、{主人公}選手を胸で挟んだと思うと\nあっという間にイかせてしまった！\n{主人公}選手はほとんど抵抗もできず搾り取られてしまいました！
試合が始まる前からおっぱいに見とれていただけに、\nある意味予想できた結末かもしれません。期待のルーキーも\nやはり若い男性、おっぱいには弱かったというところでしょうか。,試合が始まる前からおっぱいに見とれていただけに、\nある意味予想できた結末かもしれません。期待のルーキーも\nやはり若い男性、おっぱいには弱かったというところでしょうか。
胸に弱い男性マスターはミレーヌ選手相手に苦戦することが\n多いですが、期待のルーキーといえど例外ではなかったようです。\nそれにしてもちょっとあっけない敗北でした。,胸に弱い男性マスターはミレーヌ選手相手に苦戦することが\n多いですが、期待のルーキーといえど例外ではなかったようです。\nそれにしてもちょっとあっけない敗北でした。
さすがはミレーヌ選手、{主人公}選手を胸で挟んだかと思うと、\n夢心地のまま一気に射精に追い込みました。{主人公}選手は\n放心状態、気持ちよさそうな顔で尻もちをついています。,さすがはミレーヌ選手、{主人公}選手を胸で挟んだかと思うと、\n夢心地のまま一気に射精に追い込みました。{主人公}選手は\n放心状態、気持ちよさそうな顔で尻もちをついています。
なんと{主人公}選手、ミレーヌ選手の揺れるおっぱいを見ているだけで射精してしまった！,なんと{主人公}選手、ミレーヌ選手の揺れるおっぱいを見ているだけで射精してしまった！
{主人公}選手も我慢の限界まで追い詰められていたとはいえ、\nまさか胸を見せつけるだけで勝利するとは、\nミレーヌ選手のあふれ出る色気はサキュバスさえも凌駕するのでしょうか！,{主人公}選手も我慢の限界まで追い詰められていたとはいえ、\nまさか胸を見せつけるだけで勝利するとは、\nミレーヌ選手のあふれ出る色気はサキュバスさえも凌駕するのでしょうか！
うふふ❤楽しい勝負だったわ。ありがと。,うふふ❤楽しい勝負だったわ。ありがと。
はぅうう・・・・。,はぅうう・・・・。
腰が抜けて立てないのね。いいのよ、もう勝負は終わったのだし、\n無理に立とうとしなくていいわ。,腰が抜けて立てないのね。いいのよ、もう勝負は終わったのだし、\n無理に立とうとしなくていいわ。
あ、そうだ。これをあげる❤,あ、そうだ。これをあげる❤
そういうとミレーヌは僕に一枚のチケットを手渡した。,そういうとミレーヌは僕に一枚のチケットを手渡した。
わたしのお店で使える割引券よ。あなた、けっこう可愛いから気にいっちゃった。そうね、もしわたしのお店に来てくれたら・・・・。,わたしのお店で使える割引券よ。あなた、けっこう可愛いから気にいっちゃった。そうね、もしわたしのお店に来てくれたら・・・・。
ミレーヌは地面にへたり込んでいる僕に顔を近づけると、耳元に口を寄せ色っぽい声でささやいてきた。,ミレーヌは地面にへたり込んでいる僕に顔を近づけると、耳元に口を寄せ色っぽい声でささやいてきた。
あなたには特別、お店の裏でちょっとだけ、エッチなサービスしてあげる❤,あなたには特別、お店の裏でちょっとだけ、エッチなサービスしてあげる❤
ふふ、顔が真っ赤ね。何されるか想像しちゃった？それじゃバイバイ。,ふふ、顔が真っ赤ね。何されるか想像しちゃった？それじゃバイバイ。
試合のあと、宿屋に戻った僕は、彼女に手渡されたチケットを持って悶々としていた。,試合のあと、宿屋に戻った僕は、彼女に手渡されたチケットを持って悶々としていた。
僕は試合に負けたのだ。当然、ミレーヌさんの酒場に行っている暇などない。少しでも修行をしなくては。,僕は試合に負けたのだ。当然、ミレーヌさんの酒場に行っている暇などない。少しでも修行をしなくては。
ましてエッチなサービスなど受けている場合では…。,ましてエッチなサービスなど受けている場合では…。
ううっ・・・・。,ううっ・・・・。
だめだ、どうしても彼女の胸が頭の中に浮かんできてしてしまう。試合中に受けた快感がぶり返してきてどうしようもなくムラムラしてくる…。,だめだ、どうしても彼女の胸が頭の中に浮かんできてしてしまう。試合中に受けた快感がぶり返してきてどうしようもなくムラムラしてくる…。
僕は必死に感情を抑え、さっさと明かりを落としてベッドにもぐりこんだ。,僕は必死に感情を抑え、さっさと明かりを落としてベッドにもぐりこんだ。
翌朝、ほとんど寝付けなかった僕は街の中をふらふらと歩いていた。そして、,翌朝、ほとんど寝付けなかった僕は街の中をふらふらと歩いていた。そして、
いらっしゃいませー。せっかく来てくれて残念だけど、\n午前中はお店は…。って、あら？,いらっしゃいませー。せっかく来てくれて残念だけど、\n午前中はお店は…。って、あら？
なんだ、誰かと思ったら昨日勝負したルーキー君じゃない。\n名前は確か{主人公}くんだっけ？,なんだ、誰かと思ったら昨日勝負したルーキー君じゃない。\n名前は確か{主人公}くんだっけ？
ぜひ寄ってねって言ったけど、\nほんとに来てくれたんだ。うれしいー❤,ぜひ寄ってねって言ったけど、\nほんとに来てくれたんだ。うれしいー❤
ううっ、あの、これっ・・・❤,ううっ、あの、これっ・・・❤
そういうと僕はミレーヌさんからもらったチケットを手渡した。,そういうと僕はミレーヌさんからもらったチケットを手渡した。
ふふ、そう…❤\n昨日あれだけ出したのに、\nさっそくサービスしてもらいたくなっちゃったのね❤,ふふ、そう…❤\n昨日あれだけ出したのに、\nさっそくサービスしてもらいたくなっちゃったのね❤
若い男の子ってまるで性欲で生きているみたい。\nでも、それだけわたしの体で気持ちよくなってくれたのかって思うと、\nちょっとうれしいわ❤,若い男の子ってまるで性欲で生きているみたい。\nでも、それだけわたしの体で気持ちよくなってくれたのかって思うと、\nちょっとうれしいわ❤
ほら、こっちへおいで。\n夢中にさせた責任をとってあげる。\nあ、フェアリーちゃんたち、後片付けは任せたわね。,ほら、こっちへおいで。\n夢中にさせた責任をとってあげる。\nあ、フェアリーちゃんたち、後片付けは任せたわね。
はーい。マスター。,はーい。マスター。
さてと、それじゃすぐにすませちゃいましょう。あなたのココももう我慢できないんでしょ？,さてと、それじゃすぐにすませちゃいましょう。あなたのココももう我慢できないんでしょ？
そういうとミレーヌさんは僕の股のところをズボンの上から優しくなでた。,そういうとミレーヌさんは僕の股のところをズボンの上から優しくなでた。
ふふ、固い…❤ほら、ズボンを脱いで。胸でしてあげる❤,ふふ、固い…❤ほら、ズボンを脱いで。胸でしてあげる❤
よいっしょっと❤これだけ大きいと持ち上げるのも一苦労なのよ。まあその分こうやって使い道があるからいいのだけれど。,よいっしょっと❤これだけ大きいと持ち上げるのも一苦労なのよ。まあその分こうやって使い道があるからいいのだけれど。
例えば、ちょっと好みの男の子を、試合のあとにわたしの虜にしちゃったりとかね。ふふふ❤,例えば、ちょっと好みの男の子を、試合のあとにわたしの虜にしちゃったりとかね。ふふふ❤
あっ、ああっ・・・・❤きもちいい❤,あっ、ああっ・・・・❤きもちいい❤
くすくす❤爆乳パイズリ、たまらない？\nまだ動かし始めたばかりなのに顔が蕩けっちゃってる。,くすくす❤爆乳パイズリ、たまらない？\nまだ動かし始めたばかりなのに顔が蕩けっちゃってる。
あなたがサキュバスに勝ったってのはほんとなんでしょう？\nそれなのに、Ｄランクマスター相手にそんな蕩け顔しちゃって、\nかわいいわね。,あなたがサキュバスに勝ったってのはほんとなんでしょう？\nそれなのに、Ｄランクマスター相手にそんな蕩け顔しちゃって、\nかわいいわね。
わたし、魔力が足りなくて上級モンスターも出せないのよ。\nあなたは上級モンスターを何体も召喚できる、期待のルーキー。\nでも・・・。,わたし、魔力が足りなくて上級モンスターも出せないのよ。\nあなたは上級モンスターを何体も召喚できる、期待のルーキー。\nでも・・・。
勝ったのはわたし。わたしのおっぱい❤\nあなたは魔力で負けている相手におっぱいひとつで負けちゃったの❤,勝ったのはわたし。わたしのおっぱい❤\nあなたは魔力で負けている相手におっぱいひとつで負けちゃったの❤
うっ、ううっ・・・・❤それはぁ❤,うっ、ううっ・・・・❤それはぁ❤
だって、こんなの・・・。きもちよすぎてぇ・・・❤,だって、こんなの・・・。きもちよすぎてぇ・・・❤
ふふ❤ありがと❤\nパイズリにはわたしも自信があるの。\n挟んであげたら、みんな全然耐えられない❤,ふふ❤ありがと❤\nパイズリにはわたしも自信があるの。\n挟んであげたら、みんな全然耐えられない❤
あまりいじわる言ったらかわいそうよね。\nせっかくわたしのところに甘えに来てくれたのだもの。,あまりいじわる言ったらかわいそうよね。\nせっかくわたしのところに甘えに来てくれたのだもの。
試合だけじゃ満足できなくて、もっと気持ちよくしてぇって、\n朝からおねだり❤ムラムラしながら\nこの酒場まで歩いてきたって思うと、ちょっと愛おしいわ❤,試合だけじゃ満足できなくて、もっと気持ちよくしてぇって、\n朝からおねだり❤ムラムラしながら\nこの酒場まで歩いてきたって思うと、ちょっと愛おしいわ❤
ほらほらほら。おっぱい早くしてあげる。\nむにゅっておちんちんを押し包んで、激しくパイズリ・・・❤,ほらほらほら。おっぱい早くしてあげる。\nむにゅっておちんちんを押し包んで、激しくパイズリ・・・❤
あっ、あっ、あうううぅ・・・・❤,あっ、あっ、あうううぅ・・・・❤
もうイっちゃう？\nいいわよ❤まだ全然時間たってないけど、\n我慢できないのよね。,もうイっちゃう？\nいいわよ❤まだ全然時間たってないけど、\n我慢できないのよね。
おっぱいでこすられるたびに、\n腰がビクンビクンって震えて、\nおちんちんが根元から先っぽまで全部気持ちよくなって・・・❤,おっぱいでこすられるたびに、\n腰がビクンビクンって震えて、\nおちんちんが根元から先っぽまで全部気持ちよくなって・・・❤
イク❤出ちゃう❤谷間の中にたくさん出しちゃう❤\nまだ朝なのに、だいじなエナジー全部射精しちゃう❤\nほら、ほら、ほら❤,イク❤出ちゃう❤谷間の中にたくさん出しちゃう❤\nまだ朝なのに、だいじなエナジー全部射精しちゃう❤\nほら、ほら、ほら❤
あひぃ・・・・❤,あひぃ・・・・❤
あん、止めたあともドクドク出てる❤\nおちんちんの中にある精液、ぜーんぶ出しちゃってるわ❤,あん、止めたあともドクドク出てる❤\nおちんちんの中にある精液、ぜーんぶ出しちゃってるわ❤
すっかり谷間がどろどろ。\nとっても喜んでもらえたようで、うれしいわ。\nうふふ❤,すっかり谷間がどろどろ。\nとっても喜んでもらえたようで、うれしいわ。\nうふふ❤
ねえ、朝からそんなに出したら\n今日はもうまともにカードを使えないんじゃない？,ねえ、朝からそんなに出したら\n今日はもうまともにカードを使えないんじゃない？
あなた、まだまだ修行中なんでしょ？それなのに、\n大事な一日、わたしのおっぱいで無駄にしちゃったわね。,あなた、まだまだ修行中なんでしょ？それなのに、\n大事な一日、わたしのおっぱいで無駄にしちゃったわね。
ううっ、気持ちいいよぉ・・・❤もっとぉ・・・・❤,ううっ、気持ちいいよぉ・・・❤もっとぉ・・・・❤
もう、そんな顔でおねだりしてもダメよ。\nわたしだって忙しいんだから、\nタダでサービスしてあげるのは今回だけ。,もう、そんな顔でおねだりしてもダメよ。\nわたしだって忙しいんだから、\nタダでサービスしてあげるのは今回だけ。
あ、そうだ。こういうのはどう？\nあなたがわたしのお店でバイトするの。,あ、そうだ。こういうのはどう？\nあなたがわたしのお店でバイトするの。
お店の手伝いをしてくれれば、\nたまに気が向いたとき\nまた気持ちいいことしてあげる❤,お店の手伝いをしてくれれば、\nたまに気が向いたとき\nまた気持ちいいことしてあげる❤
昨日はあなたに勝ったおかげで大繁盛だったのよ。\n期待のルーキーくんを倒したってことで\nずいぶん店の名前が有名になったわ。,昨日はあなたに勝ったおかげで大繁盛だったのよ。\n期待のルーキーくんを倒したってことで\nずいぶん店の名前が有名になったわ。
同じぐらいのお客さんが来たらこれから一人じゃ大変だし、\nあなたならわたしのフェアリーちゃんたちに魔力供給もできるわよね。\nうん、我ながらいいアイデアだわ。,同じぐらいのお客さんが来たらこれから一人じゃ大変だし、\nあなたならわたしのフェアリーちゃんたちに魔力供給もできるわよね。\nうん、我ながらいいアイデアだわ。
僕はDランクの試合で負けたばかりで・・・。このお店で働いている暇なんて、ほんとうは・・・。でも・・・。,僕はDランクの試合で負けたばかりで・・・。このお店で働いている暇なんて、ほんとうは・・・。でも・・・。
ね、おねがい❤ほら、見て❤,ね、おねがい❤ほら、見て❤
（あううっ、おっぱいっ❤❤えろすぎてぇ…❤❤❤）,（あううっ、おっぱいっ❤❤えろすぎてぇ…❤❤❤）
は、はい❤働きますぅ・・・❤,は、はい❤働きますぅ・・・❤
ふふ・・・❤ありがと。\nそれじゃあ、これからよろしくね。,ふふ・・・❤ありがと。\nそれじゃあ、これからよろしくね。
こうしてミレーヌさんの酒場で働くことになってしまった僕は、毎日を忙しく過ごした。,こうしてミレーヌさんの酒場で働くことになってしまった僕は、毎日を忙しく過ごした。
酒場での仕事は夜中まで続くなかなか大変な仕事で、疲れが翌朝まで残ってしまう。また時折ミレーヌさんの召喚したフェアリーたちに魔力を吸われ、その疲労も体に残っていた。,酒場での仕事は夜中まで続くなかなか大変な仕事で、疲れが翌朝まで残ってしまう。また時折ミレーヌさんの召喚したフェアリーたちに魔力を吸われ、その疲労も体に残っていた。
その結果以前と比べて明らかに修行の時間は減り、街中で他のマスターたちと戦うことも少なくなっていった。闘技場にたまに参加することはあったが・・・。,その結果以前と比べて明らかに修行の時間は減り、街中で他のマスターたちと戦うことも少なくなっていった。闘技場にたまに参加することはあったが・・・。
ミレーヌさんとの試合を見ていた他のマスターから、胸を使った誘惑を繰り返され、疲れが残って本調子じゃない僕はどうしても一方的に翻弄されてしまい、敗北を重ねていった。,ミレーヌさんとの試合を見ていた他のマスターから、胸を使った誘惑を繰り返され、疲れが残って本調子じゃない僕はどうしても一方的に翻弄されてしまい、敗北を重ねていった。
それでも、たまにミレーヌさんがくれるご褒美を考えれば、僕はこの生活をやめられなかった。給料は少し安いが一応支払われるし、上を目指さないのなら決して悪い生活ではない…。,それでも、たまにミレーヌさんがくれるご褒美を考えれば、僕はこの生活をやめられなかった。給料は少し安いが一応支払われるし、上を目指さないのなら決して悪い生活ではない…。
今月もお疲れ様。よく働いたわね。,今月もお疲れ様。よく働いたわね。
ほら、待ち望んでいたご褒美よ❤\n優秀なカードマスターをこのお給料でバイトにできるなら、\nほんと破格よね。,ほら、待ち望んでいたご褒美よ❤\n優秀なカードマスターをこのお給料でバイトにできるなら、\nほんと破格よね。
一緒にこのお店を大きくしていきましょう。\n別にギルドで活躍することだけが幸せじゃないわ。\nあなたにはわたしの従業員として、ちゃんと幸せを用意してあげる❤,一緒にこのお店を大きくしていきましょう。\n別にギルドで活躍することだけが幸せじゃないわ。\nあなたにはわたしの従業員として、ちゃんと幸せを用意してあげる❤
はひぃ・・・❤ミレーヌさん、すきぃ・・・❤,はひぃ・・・❤ミレーヌさん、すきぃ・・・❤
ふふ。わたしもあなたのこと嫌いじゃないわよ❤\nほら、ほら、ほら・・・・❤,ふふ。わたしもあなたのこと嫌いじゃないわよ❤\nほら、ほら、ほら・・・・❤
こうして僕はAランクマスターになるという目標を忘れ、妹の救出も何かも投げ出して、ミレーヌさんの酒場の従業員としてその後の人生を過ごしたのだった。,こうして僕はAランクマスターになるという目標を忘れ、妹の救出も何かも投げ出して、ミレーヌさんの酒場の従業員としてその後の人生を過ごしたのだった。
あなたが先攻ね。\nわたしのおっぱいの気持ちよさ、知っているでしょう？\n今日は我慢なんてしないで負けちゃってもいいのよ？くすくす❤,あなたが先攻ね。\nわたしのおっぱいの気持ちよさ、知っているでしょう？\n今日は我慢なんてしないで負けちゃってもいいのよ？くすくす❤
特にあなたみたいなおっぱいに弱い男はイチコロ❤\nほらぁ、おっぱい揺らしてあげるから、\nいっぱい興奮して頭バカになっちゃえ❤うふふ♪,特にあなたみたいなおっぱいに弱い男はイチコロ❤\nほらぁ、おっぱい揺らしてあげるから、\nいっぱい興奮して頭バカになっちゃえ❤うふふ♪
あっ・・・❤あああっ❤おっぱいがえろくてぇ❤\nがまんできないっ・・・❤,あっ・・・❤あああっ❤おっぱいがえろくてぇ❤\nがまんできないっ・・・❤
あん❤いきなり暴発しちゃうなんてびっくりしたわ❤\n勝手にシコシコして、自分でイっちゃったの？\n谷間がどろどろにされちゃった❤,あん❤いきなり暴発しちゃうなんてびっくりしたわ❤\n勝手にシコシコして、自分でイっちゃったの？\n谷間がどろどろにされちゃった❤
闘技場のときもこんな風におっぱいにかけてもよかったのよ？\nあは、白くなったおっぱい見てまた勃起させてる❤\nルーキーくん、かわいいわね❤,闘技場のときもこんな風におっぱいにかけてもよかったのよ？\nあは、白くなったおっぱい見てまた勃起させてる❤\nルーキーくん、かわいいわね❤
ルーキーくんは強いのに手下のあなたはダメね❤\nおっぱい見てるだけで負けるなんて、\n弱いモンスターくん❤くすくす❤,ルーキーくんは強いのに手下のあなたはダメね❤\nおっぱい見てるだけで負けるなんて、\n弱いモンスターくん❤くすくす❤
あっ・・・❤あああっ❤がまんできないっ・・・❤,あっ・・・❤あああっ❤がまんできないっ・・・❤
あん❤あなたもおっぱいでオナニー？\n仲間の後に続いてシコシコして、自分から負けちゃうなんて❤\nそんなにこの谷間をどろどろにしたかったのかしら❤,あん❤あなたもおっぱいでオナニー？\n仲間の後に続いてシコシコして、自分から負けちゃうなんて❤\nそんなにこの谷間をどろどろにしたかったのかしら❤
闘技場のときは強かったのに、今日は全然ダメみたいね❤\nまだおちんちん固いみたいだけど、\nおっぱいでもっとシコシコしちゃう？うふふ❤,闘技場のときは強かったのに、今日は全然ダメみたいね❤\nまだおちんちん固いみたいだけど、\nおっぱいでもっとシコシコしちゃう？うふふ❤
これだけ自滅してくれるなら、今日はルーキーくんに勝てるかしら❤\n他の男の子たちもわたしのおっぱいに負けてみる？\nシコシコ気持ちいいわよ？くすくす❤,これだけ自滅してくれるなら、今日はルーキーくんに勝てるかしら❤\n他の男の子たちもわたしのおっぱいに負けてみる？\nシコシコ気持ちいいわよ？くすくす❤
あは❤ホントにオナニーで負けちゃうんだ❤\n揃いもそろっておっぱいで自滅しちゃうなんて、\nずいぶん理性が弱いのね❤,あは❤ホントにオナニーで負けちゃうんだ❤\n揃いもそろっておっぱいで自滅しちゃうなんて、\nずいぶん理性が弱いのね❤
闘技場のときは強かったのに、今日は全然弱くて驚いちゃう❤\nほら、まだおちんちん固いみたいだけど、\nおっぱいでもっとシコシコしちゃう？うふふ❤,闘技場のときは強かったのに、今日は全然弱くて驚いちゃう❤\nほら、まだおちんちん固いみたいだけど、\nおっぱいでもっとシコシコしちゃう？うふふ❤
闘技場Dランク３回戦に挑戦できるようになりました。,闘技場Dランク３回戦に挑戦できるようになりました。
「場所移動」から酒場に行けるようになりました。,「場所移動」から酒場に行けるようになりました。
骨抜きパイズリ,骨抜きパイズリ
魅惑の谷間,魅惑の谷間
なんでも,なんでも
闘技場に挑戦する(必要ランクポイント:{$needPoint}),挑戰競技場(需要階級積分:{$needPoint})
今はやめておく,現在先不要
挑戦するために必要なランクポイントに達していません(現在ランクポイント:{ランクポイント})。,未達到挑戰下一名選手需要的階級積分(目前階級積分:{ランクポイント})。
我慢できずおねだりしてしまった,忍耐不住開始求她
口をつぐんでこらえた,緊咬著唇忍耐著
闘技場の勝利報酬を得た！,得到競技場的勝利獎金！
