default
オクタ,Octa
これの何がいいのか知らないけれど、\nいいわ、近くで見せてあげる。ほら…❤,I don’t really understand it; but fine. Come closer and I’ll show you.❤ Come...❤
あは、鼻息が荒い❤女の子の胸ならなんでもいいのかしら。\nわたしの胸なんかで興奮するなら、\nどんなサキュバスにも勝てないわよ❤,Ehe; you’re breathing so heavily.❤ You’re fine with any boobs as long as it’s a girl; is it? If you get so excited from boobs like mine; there’s no way you can win against a succubus~❤
オカズを提供してあげたのだから、\nいっぱいしごいてさっさと射精しなさい❤\nあなたがわたしの小さいおっぱいに負けるところじっと見ててあげる❤,I gave you enough to jerk off to; so keep jerking off and cum~❤ I’ll make sure to watch you lose to my small boobs.❤
しこ、しこ、しこ❤しこ、しこ、しこ❤ふふ、射精するのね。\n腰をびくんってさせちゃって分かりやすい❤\nほらちょっとだけ胸を寄せてあげる❤イきなさい❤おっぱいマゾ❤,Rub; rub~❤ Rub; rub~❤ Hehe; looks like you’re going to cum. It’s so obvious when your hips are shaking like that.❤ Here; I’ll push my boobs even closer.❤ Cum; you boob masochist.❤
あっ…❤あああっ❤,Ah...❤ Ahhh❤
あは❤ずいぶん出したわね。手がどろどろだわ。エナジーもたっぷり…❤,Ehe~❤ You let out so much. My hand is all sticky now. So much energy...❤
あは❤ずいぶん出したわね。脚がどろどろだわ。エナジーもたっぷり…❤,Ehe~❤ You let out so much. My thighs are all sticky now. So much energy...❤
あは❤ずいぶん出したわね。胸がどろどろだわ。エナジーもたっぷり…❤,Ehe~❤ You let out so much. My boobs are all sticky now. So much energy...❤
勝手に自爆してくれるなら一番楽よね。\nふふ、その調子でどんどん負けに来ていいわよ❤,Having your opponent lose on their own is the easiest way to win. Hehe; it's fine; keep going like that and you're going to lose.❤
くすくす❤まさかそれがあなたの初動？開始早々仲間に続いて自分もオナニーしちゃうなんてどんな戦略なのかしら？,*Giggle*❤ To think that'd be your response. What kind of a strategy is masturbating immediately after the match started?
ふふ…。戦略なんてないわよね。頭の中チンポ気持ちよくなることでいっぱいになっちゃって、戦う気持ちがどろどろに溶けちゃったんでしょ？,Hehe... You obviously had no strategy to begin with. The only thing in your dick-for-brains head is pleasuring yourself. Your fighting spirit has already melted away.
試合前にシコシコしてあげたのが効いたようね。どんなに強いマスターでも、チンポいじられて寸止めされたら、男の知能はサル以下に落ちちゃう。,Seems jerking you off before the fight was effective. When a dick is teased and edged right at the end; their intelligence drops even lower than a monkey.
サキュバスにだって勝てたのに、わたしみたいなマスターに卑怯なことされて自滅敗北しちゃうなんて❤くすくす、とってもみじめね❤,Even though you've beaten a succubus; seeing a cardcmaster like me made you so empty-headed that you started losing on your own.❤ That’s very pathetic; isn’t it? *Giggle*❤
試合前に服の上から触られただけなのに、早くイきたくてすぐに試合放棄❤男ってほんとチンポに脳みそあるんじゃないの？,I was only touching you over your clothes before the fight; and now you wanted to ejaculate quickly and threw the match away.❤ Men really only got dick for brains; don’t they?
くすくす❤まさか開始早々仲間に続いてオナニー始めちゃうなんて。期待のルーキーなんて言われているのに、みんなに見られている所で、恥ずかしくないの？,*Giggle*❤ To think you'd also start jerking off like your allies. Despite being called the highly anticipated newcomer; aren’t you embarrassed doing it here where everyone can see it?
あは、耳まで真っ赤になっているじゃない。恥ずかしさはあるのに、チンポムラムラして我慢できなくなっちゃったんだ❤かっこ悪ーい❤,Ehe; you're turning red all the way to the ears. So you really are embarrassed; but you're so horny that you couldn't hold back❤ That's so uncoool~❤
やっぱり試合前にシコシコしてあげたのが効いたのかしら？チンポいじられて寸止めされたら、男は頭の中サル以下になっちゃうものね。,Could it really be that jerking you off before the fight was this effective? As I thought; when a dick is teased and edged right at the end; their intelligence drops even lower than a monkey~❤
サキュバスにだって勝てたのに、わたしみたいなマスターに卑怯なことされて自滅敗北❤みじめー❤,Even though you've beaten a succubus before; seeing a cardmaster like me made you so empty-headed that you started losing on your own.❤ So pathetic~❤ 
試合前に服の上から触られただけなのに、早くイきたくてすぐに試合放り出しちゃう❤男ってほんとチンポに脳みそあるんじゃないの？,I was only touching you over your clothes before the fight; and now you want to immediately throw the match away.❤ Men really only have dicks for brains; don’t they?
くすくす❤まさかあなたもオナニー始めちゃうなんて。期待のルーキーくんが、みんなに見られている所でオナニー…❤恥ずかしくないの？,*Giggle*❤ To think you'd start jerking off on your own. Masturbating here where everyone can see the highly anticipated newcomer...❤ Aren't you embarrassed?
試合前にシコシコされてもここまで我慢できたのにね❤でも結局チンポいじられて寸止めされたら、射精してすっきりしたくて、耐えられなくなっちゃうのよね❤,You've kept enduring since getting jerked before the match up until now~❤ But in the end; you couldn't bear the constant throbbing from getting edged~❤
試合前はわたしの誘惑をはねのけたのに、結局我慢できなくなっちゃってオナニースタート❤。強がっていた分、余計に男としてみっともないと思うわ❤,Even though you refused my proposal before the match; in the end you couldn’t hold back and started masturbating.❤ I think the fact you were pretending to be strong-willed makes you even more pathetic~❤
ねえねえ、これだけ言われているのに何も言い返さないの？「正々堂々戦う」んでしょ？シコシコしてないで何か言ったら？くすくす❤,Hey; why don't you say anything back? You wanted to "fight fair and square"; right? Why don't you stop jerking off and say something? *Giggle*❤
はううっ…。止めなきゃだめなのにぃ…。,Hauuu.... I need to stop; but...
あはは、ダメなのにチンポ触る手止まらないね❤\nばっかみたい❤,Ehehe; you shouldn’t be doing this; but you can’t stop touching your dick.❤ What an idiot~❤
ふふ…、あなたもわたしでオナニーしちゃうの？期待のルーキーのモンスターは、オナニー狂いのマゾばっかり❤,Hehe... you’re also masturbating to me? The highly anticipated newcomer’s monsters are all masochists addicted to masturbating.❤
マスターの大事な大事な初試合なのに、自分の快楽を優先して次から次に裏切りオナニー❤ルーキーくんに同情しちゃうわ❤,Even though it’s your master’s precious debut match; they chose their own pleasure and betray him one after another .❤ I’m starting to feel sorry for Mr. Newcomer~❤
いまだってバカにされて興奮している❤ねえ、マゾモンスターはわたしのどこを見てオナニーしているのかしら。,I’m making fun of you; yet you’re getting even more excited.❤ Hey; Masochist Monster; I wonder which part of me you’re masturbating to?
わたし胸は小さいけれど、結構エロい技での勝率も高いのよ。肌がすべすべして気持ちいいらしいわ❤,My boobs might be small; but I get a lot of wins with my lewd techniques. My smooth skin apparently feels good~❤
ねえ、正直に言いなさい。わたしのどこをオカズにしているのか…。言えば近くで見せてあげる…❤,Hey; please tell me honestly. Which part of me are you masturbating to... If you tell me; I’ll let you get closer and see it...❤
ふーん、あなたも指が好きなのね。そんなにこれで握ってシコシコされたいの？ほら、あなたがオカズにしている指よ❤,Hmm; so you liked my fingers; too. So you wanted to get held by these fingers? Here; it’s the fingers you’ve been jerking off to.❤
ほら、じっくり見なさいあなたがオカズにしている指よ❤きれいでしょ？,Here; have a look. It’s the fingers you’ve been jerking off to~❤ Pretty; aren't they?
ふーん、指が好きなのね。ほら、じっくり見なさい、あなたがオカズにしている指よ❤,Hmm; so you liked my fingers. Here; have a look. It’s the fingers you’ve been jerking off to~❤
手コキするときみたいにわっかを作って上下に動かすのもいいけれど、そうね、せっかくだから…。,I can just make a ring and move it up and down like when I gave you a handjob; but well... since we’ve come this far...
もう射精しそうなんでしょ？オナニー始めてから大して時間が経っていないのに、よわっちいチンポ❤,You’re about to cum; aren’t you? It hasn’t even been that long since you started masturbating; either. What a weak dick~❤
あと５秒ぐらいってところかしら。ほら、射精する瞬間に指でペニスをつつーっとなでてっと…❤,I’d guess you have around five seconds left. Here; I’ll run my fingers on your dick when you cum...❤
ふーん、あなたも脚が好きなのね。さっきの仲間みたいにこのふとももとかで気持ちよくされたいんだ？,Hmm; so you also liked my thighs. You wanted to feel good with these thighs like your ally earlier?
ふーん、脚が好きなのね。このふとももとかで気持ちよくされたいんだ？,Hmm; so you liked my thighs. So you wanted to feel good with these thighs? 
ふふ…、顔の近くに脚が来たら、しごくの早くなった…❤ほんと分かりやすいのね。変態❤,Hehe... When my thighs came close to your face; you started jerking even faster...❤ Your so easy to understand; you pervert.❤
触るのはダメよ。あなたは見るだけでイクの。オナニーで負けちゃうようなザコモンスターにはそれで十分でしょ？,But you can’t touch them. You’re only permitted to see them. That’s enough for a small fry monster that’s gonna lose from masturbating; no?
好きなだけオカズにしなさい。ふとももで顔やチンポを挟まれるのを想像して、たっぷりシコシコして・・・❤,So jerk off to them as you please. Imagine my thighs on your head or even holding your dick; and jerk off a lot...❤
へ？胸？そろいもそろってわたしの小さな胸が好きなの？ぷぷっ、変わっている❤,Huh? My boobs? All of you liked my small breasts? Pfft; that’s so strange~❤
へ？胸？あなたわたしの小さい胸が好きなの？ぷぷっ、変わっている❤,Huh? My boobs? You liked my small breasts? Pfft; what an unusual person~❤
これの何がいいのか知らないけれど、いいわ、近くで見せてあげる。ほら…❤,I don’t really understand it but fine; come closer and I’ll show you.❤ Come...❤
あは、鼻息が荒い❤女の子の胸ならなんでもいいのかしら。わたしの胸なんかで興奮するなら、どんなサキュバスにも勝てないわよ❤,Ehe; you’re breathing so heavily.❤ You’re fine with any boobs as long as it’s a girl; is that it? If you get so excited from boobs like mine; there’s no way you can win against a succubus~❤
オカズを提供してあげたのだから、いっぱいしごいてさっさと射精しなさい❤あなたがわたしの小さいおっぱいに負けるところ、じっと見ててあげる❤,I gave you enough to jerk off to; so keep jerking off and cum~❤ I’ll make sure to watch you lose to my small boobs.❤
しこ、しこ、しこ❤しこ、しこ、しこ❤ふふ、射精するのね。イケ❤おっぱいマゾ❤,Rub; rub~❤ Rub; rub~❤ Hehe; looks like you’re going to cum. Go ahead and cum; you boob masochist~❤
勝手に自爆してくれるなら一番楽よね。ふふ、その調子でどんどん負けに来ていいわよ❤,Having your opponent lose on their own sure is easy. Hehe; it's fine to keep going like that and lose~❤
あっ・・・❤あああっ❤がまんできないっ・・・❤,Ah...❤ Aaaahhh~❤ I can’t hold it anymore...❤
くす、なにやってるのかしら❤\nバトルの途中でシコシコしだして、すぐ射精❤,What are you even doing? *Giggle*❤ You masturbated as soon as the battle started and immediately came❤
わたしを倒した期待のルーキーとは思えないわ❤\n実は前の試合の時からこうやって負けたかったの？うふふふ❤,I can’t believe you’re the highly anticipated newcomer who beat me.❤ The truth is you actually wanted to lose like this even before the match started; didn’t you? *Giggle*❤
{主人公}のしもべのくせに理性が弱いのね❤\nあなたのせいで体力も回復❤\nこれなら今日は勝てるかも♪,{主人公}’s subordinates have such weak willpower~❤ Because of you; my LP has been restored.❤ I think I can even win today♪
あはは、あなたもオナニーしてやられちゃうわけ？\n今日はずいぶんみんな早漏ね❤,Ahaha; you’re also starting to masturbate? Everyone sure is a quick-shooter today~❤
闘技場ではわたしを倒したくせに、\n実は前の試合の時からこうやって負けたかったの？くすくす❤,Even though you were able to defeat me in the colosseum; the truth is you actually wanted to lose like this even before the match started; didn’t you? *Giggle*❤
ぷっ、またオナニーで負けるんだ❤\nみんな仲良くシコシコしてバカみたいね❤,Pfft; another one masturbated and lost again.❤ Everyone is jerking off together; looking like idiots~❤
{主人公}のしもべのくせに理性弱すぎよ❤\nあなたのおかげで体力も回復❤\nこれなら今日は勝てるかも♪,{主人公}’s subordinates have such weak willpower~❤ Thanks to you; my LP has been restored.❤ I think I can even win today♪
ふふふ、それにしても自分から負けちゃうなんてね。\n勝利をありがと❤ありがたく受け取っておくわ。,Hehe; to think you’d lose on your own. Thank you for the win~❤ I’ll gladly accept it.
あら、ふとももまで飛ばすなんて勢いよすぎ❤\n足でイクなんて期待のルーキーもただのマゾ男なのね❤くすくす❤,Oh; you came so much it even reached my thighs.❤ Cumming from my feet; turns out the talented newcomer is just a masochist~❤ *Giggle*❤
はい、おしまい。\n手でからめとられてチンポ耐えられなかったわね。くすくす❤,Yep; that's the end. Your dick couldn't endure my hand stroking it. *Giggle*❤
あら、触れてもいないのにイっちゃった❤\nチンポ気持ちよくて我慢できなかったの？くすくす❤,Oh; you came even without me touching you.❤ Did your dick feel so good you couldn’t hold back? *Giggle*❤
自分から攻撃のチャンスを捨てて、膝なんかで射精しちゃうなんて。\nくすくす❤期待のルーキーが聞いてあきれるわ。,To think you threw away your chance to attack and came on my knees.❤ *Giggle*❤ I’m shocked to hear that from the highly anticipated newcomer.
ふふふ、それにしても自分から負けちゃうなんてね❤\n闘技場でもそうやって負けてくれればよかったのに❤\nシコシコ気持ちよかった？,Hehe; but even so; to think you lost on your own~❤ If only you’d lost like this on the colosseum; too.❤ Did it feel good jerking off?
あら、ふとももまで飛ばすなんて勢いよすぎ❤\n足でイクなんて思ったよりもマゾなね❤{主人公}❤くすくす❤,Oh; you came so hard from my feet it went all the way to my thighs.❤ You’re even more of a masochist than I thought; {主人公}❤ *Giggle*❤
はい、おしまい。手でからめとられてチンポ耐えられなかったわね❤\n闘技場でもこれぐらいサクっと射精してくれればよかったのに❤\nくすくす❤,Yep; that's the end. Your dick couldn't endure my hand stroking it. If only you'd cum this quickly in the colosseum; too.❤ *Giggle*❤
自分から攻撃のチャンスを捨てて、膝なんかで射精しちゃうなんて❤\nくすくす❤期待のルーキーが聞いてあきれるわ。,To think you threw away your chance to attack and came on my knees.❤ *Giggle*❤ I’m shocked to hear that from the highly anticipated newcomer.
決着ー！！勝者はオクタ選手！,It's settled! The winner is Octa!
これはどうしたことか、オクタ選手のドローと同時に{主人公}選手、急にエナジーを漏らしてしまった！,What just happened!? While Octa is drawing her cards; {主人公} suddenly shot his energy out!
よっぽどムラムラが抑えられなくなってしまったのでしょうか。\n触れられもせずに急に射精！観客席から失笑の声も聞こえてきます。,He must’ve been so horny that he couldn’t hold back anymore; because he came suddenly even without being touched! You can hear the laughter from the spectators.
サキュバスを倒した期待の新人をオクタ選手がくだしました。\nDランクの先輩としての意地を見せた！,The highly anticipated newcomer that managed to beat a succubus has been beaten by Octa! She showed her pride as a senior D-rank!
一方{主人公}選手、まさかの自滅で敗北！\n若い青年にはオクタ選手のデッキは強すぎたか！\nちょっと恥ずかしい初戦になりました！,On the other side; to think {主人公} would lose on his own! Is Octa’s deck just too much for the young man!? This has turned into an embarrassing debut match!
オクタ選手をいいところまで追い詰めただけに、\nこれはもったいない。もう少し我慢できなかったのでしょうか！\n今後の理性の成長に期待です！,Even though he was on the brink of victory! What a shame! Perhaps he couldn’t endure it any longer!? We look forward to his willpower grow in the future!
開始直後に自慰にふけってしまうとは、\n観客席からは期待のルーキーに失笑の声がもれています。,You can hear the spectators laughing at the highly anticipated newcomer who started masturbating as soon as the match started.
一方{主人公}選手、オクタ選手の足コキで敗北！\n足に挟み込まれて喘がされるまま、一気に敗北に追い込まれました。,On the other side;  {主人公} lost to Octa’s footjob! Trapped between her thighs and left moaning; he was quickly forced into defeat.
一方{主人公}選手、オクタ選手の手コキで敗北！\n巧みな手練手管に一気に敗北に追い込まれました。,On the other side;  {主人公} lost to Octa’s handjob! With her skilled technique; he was quickly forced into defeat.
オクタ選手をいいところまで追い詰めましたが、\nあと少し耐えきれなかったか。\n{主人公}選手の今後の成長に期待です！,Even though he was on the brink of victory; perhaps he couldn’t endure it just a little more!? We look forward to seeing {主人公}’s willpower grow in the future!
一方{主人公}選手、\n強力なモンスターを出したにも関わらず、なぜか様子見。\nその隙をオクタ選手につかれ、一気に膝で敗北に追い込まれました。,On the other side;  {主人公} summoned a strong monster; yet for some reason was being cautious. Using that opportunity; Octa quickly forced him to defeat with her knees.
あは、なんとかなってよかった。,Ehe; somehow I managed to do it. 
さて、このあとは…。,Now then; next is...
ぐうっ…。まだ、ぼくは…。,Ugh... Not yet... I'm...
おや、なんと期待のルーキー、まだ戦う意思があるようです！\n一回エナジーを吐き出して、もうふらふらのはずですが、\nすごい闘志だ！,Ohh; looks like the highly anticipated newcomer still has the will to fight! Even though he must been reeling from shooting his energy! What tenacious willpower!
膝立ちながらキッとオクタ選手をにらみつけています！\nまだカードを召喚する魔力が残っているのでしょうか。,He's on his knees glaring at Octa! Does he perhaps still have magical power remaining to summon a card?
はあ。めんどくさ。,Haah; so annoying.
負けたならおとなしく寝てなさいよ。\nこうやって蹴られても何もできないくせに。,You lost; so just stay quiet and faint already. You can't do anything; even if I kick you like this.
げふっ…。,Gack...
まだやる気だっていうなら、動けなくなるまで搾ってあげる。,If you're still that eager; I'll squeeze you until you can't move anymore.
ほら、足コキしてあげるわ。喜びなさい？,Here; I'll give you a footjob. You happy?
あっ、あっ、あああっ・・・❤,Ahh; ahhhhhh...❤
まったく、一回射精したから賢者タイムってわけ？\n自分でオナニーして負けておいて、よくかっこつけられたものね。,Sheesh. You already ejaculated once; so shouldn’t you still be in post-nut clarity? Even though you lost from masturbating yourself; you’re still trying to act cool?
まったく、一回射精したから賢者タイムってわけ？\n足で踏まれて負けちゃうようなマゾじゃ、\n悪あがきしたって無駄に決まっているでしょ。,Sheesh. You already ejaculated once so shouldn’t you still be in post-nut clarity? You’re a masochist who lost from getting stepped on; it’s pointless to struggle in vain like this.
まったく、一回射精したから賢者タイムってわけ？\n手コキであっけなく射精したのに、往生際が悪いわ。,Sheesh; you already ejaculated once; so shouldn’t you still be in post-nut clarity? Even though you lost from my handjob; you don’t know when to give up.
まったく、一回射精したから賢者タイムってわけ？\nご褒美もらいたくて攻撃をやめた、マスター失格のルーキーのくせに。,Sheesh. You already ejaculated once; so shouldn’t you still be in post-nut clarity? Even though you’re a failure of a master that stopped attacking to get a reward.
まったく、一回射精したから賢者タイムってわけ？\nわたしがドローしているのを見て射精したヘンタイのくせに、\nよくかっこつけられたものだわ❤,Sheesh. You already ejaculated once; so shouldn’t you still be in post-nut clarity? Even though you’re a pervert who ejaculated while I’m still looking at my drawn cards; you’re still trying to act cool?
Ｄランクなんだから理解しているわよね？\nカードマスターにとって一回の射精は致命的。\n1回出して冷静になってから戦おうなんて、虫のいい話はないのよ。,You do realize you're a D-rank; right? For a cardmaster; even a single ejaculation is fatal. There’s no way you can calm down and fight again after ejaculating.
射精して動けなくなったらあとは敵のおもちゃにされちゃう。\n厳しい現実を体験しておきなさい❤\nほら、ほら、ほらっ・・・❤,After you cum and can't move anymore; you become the enemy's plaything. Here; taste the harsh reality...❤ 
あは、なにその動き？魚みたいにぴちぴち跳ねちゃって\nそんなにわたしの足がいいの？,Ehe; what's that movement supposed to be? Wiggling around like a fish. Are my feet really that pleasurable?
ほら、もっと戦うんでしょう？頑張りなさいよ。\nイったばかりで敏感なチンポいじめられても、\n男の意地で立ってみなさいよ。くすくす❤,Come on; I thought you wanted to keep fighting? Do your best. Even if you just came and are getting teased on your sensitive place; please show some pride as a man. *Giggle*❤
うっ、うぐうぅっ・・・❤あっ、ああっ❤,Uuugh... Ahhh❤
くす、全然動けてないわね。\nあんまり気持ちよすぎて、\n自分の手足の動かし方を忘れちゃったのかしら❤,*Giggle*❤ You're not moving at all. Did my feet feel so good that you just forgot to?❤
ほらほら、逃げないならどんどん行くわよ。\n先っぽのところを指で挟んで、ゴシゴシ❤ゴシゴシ❤\nカリ首いじめられて、耐えられる？,Come on; if you don't escape then I'll keep going. I'll hold the tip of your dick with my toes.❤ Scrub; scrub~❤ Can you endure getting your glans teased?
もっと敏感になるように特製ローションもおまけしてっと…❤,I'll add a special lotion to make you even more sensitive...❤
ひぅっ、あう、あうううっ・・・❤,Uuu; aghhh...❤
くすくす❤すごい声ね。\n観客席まで聞こえちゃう、大きな恥ずかしい声❤\n女の子に足で踏まれて、そんな声出しちゃうんだ。\n,*Giggle*❤ What a great moan you're leaking out. Even the spectators are gonna hear those embarrassing moans.❤ They're the kind of moans someone getting stepped on by a girl would make.❤
このローション、チンポだけじゃなくて、\n腰の深いところまでじんじん来るでしょ？\n体が熱くなってきてどんどん抑えが効かなくなってきて・・・❤,Not just your dick; you can even feel the lotion deep in your hips; can't you? Your body feels hotter and hotter; and you can't control yourself anymore...❤
わたしの足で、ずちゅずちゅってチンポをこすられるたびに、\n頭の中ピンク色に染まって\n気持ちいいってこと以外何も考えられなくなる❤,Every time my feet rub against your dick; your mind can't think of anything but how good it feels.❤
ほらほら！足コキされて、立ち上がれるなら\n立ち上がってみなさいよ。\nまだ諦めないんでしょ？闘技場でわたしに勝つんでしょ？,Come on; show me that you can still stand up even after getting a footjob. Didn't you say you haven't lost yet? That you'll win against me in the colosseum?
あぐっ、ああっ、気持ちいいっ、きもちいいぃっ❤❤,Aghhhh; too good...❤ It feels too goooood~❤❤
ダメぇ、イ、イかせて、射精、射精したいぃ❤,No more... Cum... I want to cum~❤❤
ぷ、それがあなたの今の望み？\n戦いのことなんて、もうどうでもいいんだ？,Pfft; so that's what you wish for? So you don't care about the match anymore?
ま、あんまりやりすぎてもかわいそうかしらね。\n上下関係も分かったところで、\nほら待ち望んでいた天国よ❤,Well; I'd feel bad going too far myself. Now that you know your place; I'll send you to heaven as you wish~❤
ぐちゅぐちゅぐちゅぐちゅ、両足で挟んで上下にしごいてあげる❤\nわたしには勝てないってしっかり分かったでしょ？\n分かったならイって返事しなさい❤雑魚ルーキー❤,Squish; squish. I'll jerk you with both of my feet.❤ You understand now that you can't beat me; right? If you do; then please reply~❤ Small fry newcomer~❤
あひっ、あっ、ああっ❤❤,Ahieeeee~❤❤
あはは、２回目だっていうのにすごい量ね。\nそれにその顔❤すっかりアヘ顔さらしちゃって、\nローション足コキで、完全にメロメロって感じかしら。,Ahaha; it's your second time ejaculating; yet it's still such an impressive amount. And that look you have~❤ Such a face filled with ecstasy. You're completely smitten by the lotion footjob; aren't you?
快感の余韻で腰がまだカクカク動いているし❤\nまるで陸に打ち上げられた魚みたいね。くすくす❤,Your hips are still moving from the afterglow~❤ You look just like a fish that’s been washed ashore; *Giggle*❤
あへぇっ、あうう・・・❤❤,Ahhhh...❤❤
ほらまた気持ちよくしてあげるわ❤\n今度は手でしごいてあげる❤,Here; I'll make you feel good again.❤ I'll use my hand this time~❤
試合前に寸止めされて辛かったんでしょう？\nようやく念願かなってよかったわね❤\nわたしの指になでられて、あはこんなに喜んでる❤,It must've been so hard to get edged before the fight; wasn't it? You must've been so glad to finally get what you wished for~❤ Getting stroked by my fingers; and letting out such happy moans~❤
空っぽになるまでわたしの手に搾り取られなさい❤\n指をうねうねう動かすのは得意なの❤\nほらほらほら❤,I'll squeeze you with my hand until you're dry.❤ My fingers’ wriggling movement is a specialty of mine.❤ I'll show you how good it feels~❤ 
試合前に誘惑を断ったときから、\nこんな風に早く抜いてほしかったんでしょう？\nようやく念願かなってよかったわね❤,Ever since you declined my temptation before the match; you've wanted me to jerk you off like this; didn't you? I'm glad your wish finally came true~❤
わたしの細い指でなでられて、あはこんなに喜んでる❤\nすっかり物わかりのいい子になっちゃったわね❤,Getting stroked by my slender fingers and letting out such happy moans.❤ You've become such an obedient kid~❤
彼女にカラカラになるまで射精させられ気を失った僕は、気が付くと闘技場の医務室にいた。,She kept making me ejaculate until I was completely empty and lost consciousness. When I woke up; I was already brought to the colosseum's infirmary.
僕が負けたあとの様子を医務室の人に聞くと、期待のルーキーが失神KOさせられた姿を見て、がっかりした客やにやにや笑っている客が多かったとのことだった。,When I asked the people in the infirmary about what had happened after I lost; they told me that many of the spectators were disappointed or were laughing at the sight of the highly anticipated newcomer getting knocked unconscious.
こんな姿をもし師匠が見ていたとしたら…。ううっ、自分で自分が情けなくなってくる。,If my master had seen me in such a state... Ugh; I feel ashamed; yet I can only blame myself.
しかし、それから数週間後・・・。,But; a few weeks later...
くっ・・・❤ああっ・・・❤,Ugh...❤ Ahh...❤
ふふ、どうしたの？リベンジするんじゃなかったのかしら。,Fufu; what's wrong? Isn't this supposed to be your revenge match?
わたしに服の上からチンポを撫でられてすぐに棒立ち。\nまた足でいじめられて負けたくなっちゃった？\nそれとも今回は手コキがいいかしら。くすくす❤,I just touched it lightly through your clothes and it's already erect. Did you want to lose and get teased by my feet again? Or perhaps this time you want my hand instead? *Giggle*❤
あううっ・・・❤,Ahhh...❤
おおっと、{主人公}選手、またもやオクタ選手に組みつかれた！\n今回もこのまま負けてしまうのか！,Ohh; {主人公} has been caught by Octa yet again! Will he lose this time; too!?
{主人公}選手、男性選手には勝てるものの、女性マスターにはほぼ全敗！\n特にオクタ選手相手には一方的な負け試合が続いています！,{主人公} can win against male opponents; yet almost always loses against female opponents! His matches against Octa especially has been one-sided again and again!
サキュバスを倒したときの心の強さはどこへ行ったのか！\nすっかり色香に弱くなった元「期待のルーキー」に\n観客もすでに諦めの目を向けているようです！,Where has the cardmaster with strong willpower to even beat a succubus gone!? Even the spectators seem to have given up on this "Former Highly Anticipated Newcomer" that has become weak to getting charmed!
くうっ、勝たないといけないんだ…。\n師匠に恥ずかしくないように、なにより妹を助けるために…。,Ugh; I have to win... I can't disappoint my master; and more importantly I need to save my sister...
あは、そんなヘロヘロの攻撃当たるわけないじゃない❤,Ehe; there's no way such a feeble attack is going to hit me.❤
何か考えているようだけど。どうせ無意味よ。\nほら、ローションをたっぷり手と足に垂らして…❤,Looks like you're thinking about something; but it's useless. Here; I'll put lots of lotion on my hands and feet...❤
って、ぼーっと眺めちゃってるじゃない❤\nローションが絡みついていくのがそんなに見たかったの？あはは、気持ちいいことされる期待でもう足が動かないんだ…❤,I said that; but aren't you just staring blankly?❤ Did you really want to see the lotion clinging to my body? Ehehe; you're expecting it so much you can't even move...❤
ならさっさとイきなさい❤\n今回もわたしの白星に貢献してもらうわ。{主人公}❤,Then let's get this over with~❤ You'll contribute to my victory this time too; {主人公}~❤
ほらほらほら❤足でチンポを挟んで前後に動かされてたまらないでしょ…❤,Look~❤ My feet are gripping your dick and moving up and down. It's unbearable isn't it...?❤
あっ、あっ、あうううぅ・・・・❤,Ahh; ahhhhh...❤
一度骨の髄までオクタさんの快感を教え込まれたあとでは、彼女の攻撃にまったく抵抗できなくなってしまった。,Once I had been taught the feeling of pleasure to my very core by Octa; I couldn't resist her attacks anymore.
何度気合を入れなおして勝負を挑んでも、ローションをつけた状態で愛撫を受ければ、それだけで頭の中が真っ白になってしまう。そんな状態ではカードもまともに使用することができない。,No matter how many times I gathered my spirit and challenged her to a match; once I got caressed with those lotions; my mind blanks out immediately. I couldn't even use my cards anymore.
こうして僕は延々と敗北を重ね、結局Ｄランクより上のランクに行くことはできなかった。強くなるため他の手段を模索しようと思っても、オクタさんとの試合を思い出すと、それすら手につかず、また闘技場に足を運んでしまうことをどうしてもやめられなかった。,I continued racking up so many losses; that I never ended up being able to increase my rank past D. Even if I had found another way to get stronger; once I remembered that match with Octa; I'd get so overwhelmed that I couldn't help but go the colosseum again.
妹を助けに行くという当初の目的も果たせないまま、僕の冒険はこうして幕を閉じたのだった。,Thus my adventure ended without accomplishing my original goal of saving my sister.
みなさんご存じの通り、勝者のオクタ選手には魔力補充の権利が与えられます。衆人環視のこの場で魔力を得るか、それともプライベートルームに移動するかは彼女の自由です。,As you all know; the winner Octa is given the right to replenish her magical power. She’s free to choose whether she wants to replenish it here where everyone can see or move to a private room.
オクタ選手、どうされますか？,Octa; what will you do?
そうね、わたしは・・・。,Good question; I guess I will...
うふふ、ここが闘技場に備え付けの個室よ。なかなかいい部屋でしょ？ここを自由にできるのは勝者の特権ね。,Ehehe; this place is the colosseum’s private room. It’s a pretty good room; isn’t it? The winner gets to use this room freely.
ん？どうしたの？搾精がプライベートルームになったから安堵しているのかしら。それとも…。,Hm? What’s wrong? Are you relieved that you’ll get squeezed in a private room; or perhaps...
みんなが見ている前でいじめてもらえなくて、残念だった？このヘンタイ❤,Are you disappointed that you didn’t get to be teased in front of everyone? You pervert.❤
あは、さっき射精したばかりなのに、チンポ、ビンビンじゃない❤この部屋に来るまでずっとムラムラしてたんだ。,Ehe; even though you just came earlier; it’s already so hard~❤ You’ve been so hard ever since coming to this room.
わたしは優しいから、あなたの人生まで壊すつもりはないの。街中の人に、みっともないところ見られたくないと思って配慮してあげたのよ。,I’m a kind person; so I didn’t want to destroy your life. I was being considerate since I didn’t want the people in the city to see you in such an embarrassing state.
