default
シルヴィア,Sylvia
いいわよ、せいぜいあがいて見せなさい。\n大事な一戦を控えてるんですもの、\nしっかり骨のあるところ見せないとね。ふふふ♪,That's fine; struggle as much as you want. You have an important battle coming up; so you need to show some backbone; don't you? Fufufu~♪
ふふ、モンスターに指示を出すべきその口で、\nわたしに快楽をねだってしまうの？\n大事な試合を控えているのにずいぶん恥ずかしい行為ね。,Fufu; you should be giving orders to your monsters; but you're just begging me for pleasure instead. That's rather embarrassing for someone with such an important match coming up.
仕方ない、劣った相手を導くのも実力者のつとめ。\n学園最高のわたしの身体、たっぷりと味合わせてあげる❤\n夢見心地で果てなさい❤,I suppose it can't be helped. Guiding lesser masters is yet another duty of the skilled. I'll let you thoroughly taste the body of the academy's best.❤ Cum lost in utter bliss!❤
あっ・・・❤あああっ❤もうっ・・・❤,Ah...❤ Ahhh!❤ No more...❤
あら、何かと思えば自分で触って出しちゃうなんて、\n大事な試合を控えてるのに、そんな負け方をしちゃっていいのかしら❤,Oh my; I would've never expected you'd end up cumming just from touching yourself like that. Is losing like that really okay when you have an important match coming up?❤
ついこの間出したばっかりなのに、\nそんなにたまっちゃうものなの？\nもう少し我慢しないとお師匠さんの前で恥をかくわよ。くすくす❤,I just made you cum the other day and yet you've already built up this much? You really need to show more restraint. Otherwise you'll end up embarrassing yourself in front of your master! *Giggle*❤
ずっと我慢していて今日は耐えられなくなっちゃった？\n無敗のルーキーもやっぱり男の子だし、\nたまっちゃってどうにもならなくなったりするのね。くすくす❤,You've been holding back for so long. Could you finally just not take it anymore? You may be the undefeated rookie; but you're still just a boy after all. You can't help but get pent up beyond control from time to time. *Giggle*❤
あら、無敗のルーキーのモンスターは、\nマスター本人ほど理性が強くないのね❤\nわたしの体、そんなに色気があったかしら。,Oh my; it seems the undefeated rookie's monster doesn't have as much self-control as his master.❤ Is my body really that alluring?
何もしていないのに自分でしごいて、\nこの大きな胸に濃い魔力を吐き出して❤\nくすくす、もっと理性を鍛えないとダメよ❤,Without me having to even do anything; you ended up stroking yourself and releasing such thick magical energy onto my heavy breasts.❤ *Giggle* You really need to train your self-control more!❤
あっ・・・❤あああっ❤がまんできないっ・・・❤,Ah...❤ Ahhh!❤ I... I can't hold back...❤
あら、まさかマスター本人もオナニーで出しちゃうなんて❤\n大事な試合を控えてるのに、そんな負け方をしちゃっていいのかしら❤,Oh my; to think even the master himself would end up making himself cum.❤ Is it really okay to lose like this when you have such an important match coming up?❤
ついこの間射精したばかりでしょう？\nそれでそんなにたまっちゃうものなの？\nもう少し我慢しないとお師匠さんの前で恥をかくわよ。くすくす❤,You just let it out the other day; didn't you? Did you really build up that much so soon? You really need to show more restraint. Otherwise you'll end up embarrassing yourself in front of your master! *Giggle*❤
くす、あなたもオナニーで射精しちゃうのね❤\nマスターを放置して次々シコシコして、\nみっともないモンスターたちね❤,*Giggle* So you ended up masturbating and cumming too; did you?❤ Abandoning your master to stroke yourselves one after another. What pathetic monsters~❤
闘技場だと頑張れたのに、今日はわたしを見ただけでイってしまうの？\n男の子ってよくわからないわ。ふふふ❤,You managed to try hard in the arena; but today you came just from looking at me; didn't you? Boys sure are unpredictable. Fufufu~❤
決着ー！！\nあわや敗れるかと思われたシルヴィア選手、しかし最後は\n無敗のルーキーの腰に組み付き、逆転の一撃を与えました！,It's over!! Just when it seemed Sylvia might be defeated; she grappled onto the undefeated rookie's waist and delivered a decisive reversal!
あの最強の彼ですらやはり性欲には勝てなかったのでしょうか！\nシルヴィア選手の胸に捕らえられたあとは、\nなすすべなく痙攣を繰り返し、敗北！,Even the strongest of men couldn't overcome his own sexual desires! After being captured by Sylvia's breasts; he could do nothing but convulse over and over until he was forced to face defeat!
カードプレイングに加えて巧みな性的テクニックも併せ持つとは\nさすがはシルヴィア選手！\nこれが学園最強のカードマスターの実力です！,To possess such skillful sexual techniques in addition to card playing—I would expect nothing less from Sylvia! This is the true power of the academy's strongest cardmaster!
決着ー！！\n圧倒的な防御を前になすすべなし！\n無敗のルーキーここで敗北！ついに連勝記録が途絶えてしまいました！,It's over!! Left completely helpless against his opponent's overwhelming defense; the undefeated rookie is left utterly defeated! His winning streak has finally been broken!
若き才能のぶつかり合いを制し、「無敗」に「敗北」を突きつけたのは、\nそうシルヴィア選手！\n学園最強のエース、シルヴィア選手です！！,Triumphing in this clash of young talent and delivering 'defeat' to the 'undefeated' is Sylvia; the academy's strongest ace!!
これが学園最強のカードマスターの実力だー！,This is the true power of the academy's strongest cardmaster!
持てる力の全てを結集して臨んだAランク昇格戦だったが、結果は惨敗。というより勝負にすらなっていなかった。,I had put everything I had into my A-rank promotion battle; but in the end; the result was a crushing defeat. Though; in truth; it wasn't even a proper match.
学園最強のテクニックに惑わされ、誑かされ、魅了されて・・・。果ては健康的に揺れるおっぱいに魅入られ、カードに集中することすら出来なかった。,Bewildered; dazed; and left charmed by the academy's strongest techniques... In the end; I was captivated by the energetic sway of her heavy breasts and couldn't even concentrate on my cards.
うぅ・・・。,Ugh...
くす❤今回はラッキーで私が勝ったみたいね❤,*Giggle*❤ It seems I got lucky. I win this time.❤
え・・・？,Wha...?
対戦相手のあなたの戦いは見たことがあるの。,I've seen your battles before.
バランスの取れたデッキの構築に、\n絶妙なタイミングでのカードの使用、\nそれに巧みなコンボ。,Your balanced deck construction; your exquisite timing with your cards; and your skillful combos...
どれをとっても無敗のルーキーの名に恥じない素晴らしいものだったわ。\nでも、これまで無敗で勝ち続けた分、\nその・・・、たまってたんでしょ？あなた。,All of it was wonderful and worthy of the undefeated rookie's name. But; after winning without a single defeat for so long... Well... You were pretty pent up; weren't you?
男の子ってあまり長く我慢できないって聞いたことがあるわ。\n一週間も我慢すると性欲で頭がいっぱいになっちゃうとか・・・。\nそれなのに、ここまで一度も負けずに戦ってこれたあなたは立派よ。,I've heard that boys can't hold back for very long. If you resist for even just a week; your head becomes filled with sexual desire... Despite that; you managed to fight this far without losing even once. That's really admirable.
今回は少し残念な戦いだったけれど・・・。\nこれですっきりできたでしょうし、\n次はきっと、もっといい勝負ができるわね。,This battle was a bit disappointing... but now you can feel refreshed; and next time we'll have a much better match for sure.
ほら、いつまでもへたれてないで立ちなさい。\nファンのみんなに手を振りましょう。,Come on; stop moping around and stand up. Let's wave to all our fans. Together.
彼女は僕に向かってすっと手を差し伸べた。僕は気後れしながらも、その手を取った。,Showing incredible grace; Sylvia extended her hand toward me. Despite how self-conscious I felt; I took it.
さすがは{自分}選手！\n負けた{主人公}選手に優しく手を差し伸べています！\n互いの力を認め合う二人に会場からも割れんばかりの歓声です！,As expected of {自分}! She kindly offered her hand to the defeated {主人公}! The crowd is erupting with thunderous cheers for our two fighters who have recognized one another's strength!
今回はシルヴィア選手に実力差をまざまざと\n見せつけられる結果となりましたが、そこは無敗のルーキー、\nきっとこれから強くなって見返してくれるでしょう！,While Sylvia may have thoroughly demonstrated her superior skill this time; being the undefeated rookie; there's no doubt her opponent will grow even stronger and show us something amazing next time!
会場のファンたちも無敗のルーキーに「がんばれ」\n「次の試合も楽しみにしている」と声援を送っています！\nいやぁ、胸が熱くなる光景ですね！,The fans in the venue are cheering for the undefeated rookie! Encouragements of "do your best!" and "we're looking forward to your next match!" are echoing through the arena! What a heartwarming scene!
（こんな僕を認めてくれるなんて…\nそれに比べて僕は…うぅ…）,(For her to recognize someone like me... Compared to her; I'm... Ugh...)
彼女の差し出したきれいな手を握りながら、至近距離にある大迫力のおっぱいに僕は情けないほど視線を吸い込まれてしまっていた。,While gripping her outstretched hand; being close like this; I found my gaze drawn pathetically to her impressive breasts.
持てる力の全てを結集して臨んだAランク昇格戦だったが、結果はシルヴィアさんの完勝。,I had put everything I had into this A-rank promotion battle; but the result was Sylvia's total victory.
僕は自分よりも強い相手がいるというのをはっきりと思い知らされてしまった。,I was made to clearly realize that there were opponents stronger than myself.
そんな僕に彼女がそっと耳打ちをした。,During all this; Sylvia leaned close; whispering gently in my ear.
ねえ。今度、私にもカードテクニックを教えてくれないかしら？\nぜひあなたの考えを聞いてみたいの。,Hey. Would you maybe teach me some of your card techniques sometime? I'd really love to hear your thoughts.
う、うん・・・。,Oh; uh... S-sure...
彼女の唇が耳に触れるくらいの距離まで近づき、彼女の大きなおっぱいが僕の肩にむにゅりと潰れる。,Her lips moved close enough to almost touch my ear; and her large breasts pressed softly against my shoulder.
うあ・・・っ❤,Ohh...❤
たったそれだけで、試合中の快感を思い出し、僕は思わず前かがみになってしまった。さっき射精したばかりだというのに・・・。ううっ・・・。,From just that alone; I remembered the pleasure I'd just felt during the match; involuntarily hunching forward. Even though I had just ejaculated... Ugh...
くす❤ほんと、元気なのね❤\nわたしの体、わたしの声、そんなに気に入っちゃった？,*Giggle*❤ You really are virile; aren't you?❤ Were you that taken in by my curvy body and alluring voice?
まあいいわ。それじゃあ、今度あなたの部屋にでもお邪魔するから。\n一緒に有意義な時間を過ごしましょう？,Well; that's okay. I'll visit your room sometime. Let's spend some meaningful time together; okay?
シルヴィアさんはそう言うと、ファンたちに手を振りながら優雅に会場を後にした。一方で僕は、エナジーを奪われてふらふらな上に、彼女に密着されたせいでしっかり勃起してしまい、それを隠しながらひょこひょこと闘技場を去ったのだった。,Saying that; Sylvia waved to the fans and gracefully exited the venue. Meanwhile; I was left dizzy from having my energy drained and had gotten fully erect from her pressing against me; leaving me to hobble out of the arena while trying to hide my shame.
数日後,Several days later
約束通り彼女とカードについて情報交換をすることになった。,The day came where I was going to discuss cards with Sylvia; just like I promised.
シルヴィアさんは僕を倒した（といっても僕が勝手に自滅してしまったのだが）、強いカードマスターだ。彼女の戦術やデッキ構築、魔力の使い方について聞くのは僕もかなり楽しみだった。,She was a strong cardmaster who had defeated me (though I had basically defeated myself); so I was really looking forward to hearing about her tactics; deck construction; and magical energy usage.
シルヴィアさんは僕を倒した強いカードマスターだ。彼女の戦術やデッキ構築、魔力の使い方について聞くのは僕もかなり楽しみだった。,She was a strong cardmaster who had defeated me; so I was really looking forward to hearing about her tactics; deck construction; and magical energy usage.
入るわね。,I'm coming in; okay?
ふふ、男の子の部屋に入るのって初めてだわ。\n学園じゃ、わたしと対等に戦える男って全然いなかったから。,Fufu; this is actually my first time entering a boy's room. At the academy; there weren't any guys who could fight me on equal terms.
あなたもまあ、すぐ負けちゃったけれど、\nこれまでの試合を見る限り、そこらの男子生徒よりずっと強いわ。\nさあ、今日はたくさんカードについて話しましょ？,You lost pretty quickly like them; but judging from your previous matches; you're much stronger than the average male student. Now; let's have a long discussion about cards today; shall we?
さあ、今日はたくさんカードについて話しましょ？,Now; let's have a long discussion about cards today; shall we?
そう言って、シルヴィアさんは部屋の中に入ってくる。この部屋にはテーブルと椅子が１つしかないので、僕はシルヴィアさんに椅子をすすめて、自分はベッドに腰かけることにした。,Saying that; Sylvia entered the room. Since this room only had one table and chair; I offered the chair to my guest and decided to sit on the bed.
彼女と二人、デッキや持っているカードを見せ合いながらカードバトル談義に花を咲かせる。彼女の考える詠唱理論や戦術はなかなか新鮮で、僕にとって学びのあるものだった。,The two of us spent time discussing card battles; showing each other our decks and cards. Her theories about incantations and tactics were pretty refreshing; offering me some valuable insights.
彼女も同様なようで、僕が師匠に教わったことやバトルの中で考えたことを話すと、興味深そうに頷いている。互いに時間を忘れて話に熱中したのだった。,She seemed to feel the same way; nodding with interest whenever I shared what my mentor had taught me or strategies I'd developed through battle. We both lost track of time; absorbed in our conversation.
・・・・話し始めて2時間ぐらいが経った頃、少し話疲れたのもあって集中力が落ちてきた。彼女は僕の持っているカードを手に取りそれを見ながら何やら話している。,...About two hours into our discussion; having talked quite a bit; my concentration began to wane. She was holding one of my cards; examining it while talking about something.
しかし僕は気もそぞろで、彼女の手元を見ていたはずがいつの間にか彼女の胸元をぼんやりと眺めていた。,But my mind was wandering. I should have been focused on what she was holding; but I found myself absently staring at her cleavage.
（ああ・・・、試合のときも思ったけどすごい胸だなぁ・・・❤）,(Ah... What incredible breasts... Just like during the match...❤)
（いや、僕はなにを考えているんだ。\nシルヴィアさんは真面目に話をしているのに・・・❤ううっ❤）,(No; what am I thinking? Sylvia's trying to have a serious conversation...❤ Ugh...❤)
・・・くす❤\nまったくどこをそんなに熱心に見ているのかしら❤,...*Giggle*❤ And just what are you staring at so intently?❤
やっ、いやこれは・・・。,N-no; I'm not...
言い訳はしなくていいわ。\n途中からわたしに見られているのにも気づかず、\n視線がずーっと胸元を向いていたし、バレバレよ❤,You don't need to make excuses. You didn't even notice I was watching you; did you? Your eyes were fixed on my chest the entire time; completely obvious!❤
試合中もそうだし、わたしがこの部屋に入ってきたときもそう。\nちょっと揺れるたびにチラチラと見て、\nふふ、こんな重いだけの脂肪の塊の何がいいんだか。,It was the same during our match; and when I first entered your room. You kept glancing at them every time they swayed a little. Fufu; what's so interesting about these heavy lumps of fat anyway?
まあいいわ。カードのことだけじゃなくて、\nこっちについても色々試してみたいことがあったの。\n無敗のルーキーくんの体でね❤,Well; whatever. It's not just cards I want to experiment with; you know. There are various other things I'd like to try... using the undefeated rookie's body as my training dummy~❤
そういうとシルヴィアさんは椅子から立ち上がり、ずいっと僕の方へ近寄ってきた。ベッドに腰かけていた僕はシルヴィアさんに見下ろされる形になる。,With that; she stood up from her chair and stepped closer to me. From my place on the bed; I found myself looking up at her.
シルヴィアさんはにこりと微笑むと、僕を軽く押し倒す。僕は後ろ手をついてベッドに倒れ込んでしまう。,Sylvia smiled sweetly and gently pushed me down. I fell backward onto the mattress; supporting myself with my hands.
わわっ・・・。,Whoa...
くす❤あまり抵抗しないのね。\nそれとも近づいてくるおっぱいに夢中で、抵抗できないだけかしら❤,*Giggle*❤ You're not resisting very much; are you? Maybe you're just too mesmerized by my approaching breasts to fight back~❤
ほら無防備にさらけ出されているあなたのアソコ。\n手か何かで守ってあげないと、上から押しつぶされてしまうわよ❤\nえい❤,Look at your defenseless cock; so exposed like that. You should cover it with your hands or something; or it'll get crushed from above!❤ Hyup!❤
あふぅうう・・・・❤❤\nすごいっ、やわらかくてぇ・・・❤❤,Ahh; ohh...❤❤ Amazing... So soft...❤❤
シルヴィアさんは僕の脚の間に膝立ちになり、上半身をゆっくりとおろしてズボンの上に胸をを押し当ててきた。その柔らかすぎる圧力が僕のペニスにずっしりとのしかかる。,Sylvia knelt between my legs; slowly lowering her upper body to press her breasts against my pants. An overwhelmingly soft pressure settled heavily onto my crotch.
すでに軽く勃起していた僕のペニスは、シルヴィアさんの爆乳に甘く押しつぶされて、途方もない快感を与えられる。ああ、きもちいい・・・。,My penis; being already somewhat erect; was sweetly crushed by Silvia's massive chest; sending incredible pleasure through my body. Ah; it feels so good...
ふふ、簡単にギンギンになってしまうのね❤\nズボン越しにずりずりしてあげるだけでも、\n楽に射精させられそう。でも・・・❤,Fufu; you got hard so easily~❤ I could probably make you cum just by rubbing you through your pants. But...❤
せっかくだからほら、ちゃんと生でやってあげる❤\nあなたの固くなったものを見せなさい❤\nおっぱいで挟んであげるわ❤,Since we have the chance; here; I'll do it properly; skin-to-skin.❤ Come on; show me your erection.❤ I'll squeeze it between my breasts~❤
わっ、ちょっと、あっ、ああ・・・❤❤,Wah; wait; ah; ahh...❤❤
快感で既にふにゃふにゃになっている僕は、あっという間にズボンを脱がされてしまった。そして・・・,Already weakened by pleasure; I was quickly stripped of my pants. And then...
はひぃっ、はうぅううっ❤❤,Haa; hahhh...❤❤
何の抵抗もできないまま、彼女の爆乳にペニスを飲み込まれてしまう。中身がたっぷりとつまった重量感に包まれ、挟まれただけでもう腰から溶けてしまいそうなほど気持ちがいい。,Unable to resist at all; my penis was swallowed by Sylvia's massive breasts. Enveloped in such substantial weight; just being squeezed between them felt so good I thought my hips might melt.
くす❤わたしのおっぱいに直接ペニスを挟んでもらえてうれしい？\nずいぶんとだらしない顔❤\nもしこれが試合中だったら、この時点であなたの負けかもしれないわね❤,*Giggle*❤ Are you happy to have your cock squeezed between my breasts; with nothing left in the way? You're making such a pathetic expression~❤ If this were during a match; you'd already be defeated at this point.❤
試合のときも思ったけれど、\nエッチな技って想像以上に男の子に有効なのよね。\n学園の子だけじゃなくてあなたみたいな強い人にもすごく効果的❤,Just like during our battle. Sexy techniques are more effective on boys than I imagined; huh? It's not just with academy students. Even someone as strong as you is incredibly susceptible.❤
これまで教科書と講義だよりで実践は少なめだったから、\nあなたの体で色々試させてもらうわ❤\n「無敗」で頑張ってきたんだもの、我慢強いペニスなのよね？,Since I've relied mostly on textbooks and lectures with minimal practice; I'll use your body to test various techniques~❤ You've worked hard to stay "undefeated"; so you must have a pretty hearty cock; right?
そんな相手で練習できるなんて、\nふふ、これ以上の実践訓練はないと思うの❤\nあなたをすぐにイかされるようになるまで特訓させて、ほら❤,Being able to practice with such an opponent... Fufu; there's no better practical training than this.❤ I'll train until I can make you cum instantly. Let's start!❤
あなたもエッチな攻撃に耐える練習になるでしょ？\n一石二鳥だわ。ずりずりずりっと♪,This will also be practice for you to resist sexy attacks; right? So it's really a win-win situation. Squish; squish; squish~♪
わたしはわたしに足りない攻撃力をこの練習で磨ける❤\nあなたはもっと我慢できるように防御力を磨ける❤\nすごくいい関係だと思わない？,I can use this practice to develop the attack power I lack.❤ You can build your defense to last longer.❤ It's a pretty mutual relationship; don't you think?
男の子のペニスだって、何回もしていれば、\nきっと胸での刺激にも慣れてくるでしょ？\nほらほらほら❤まずは教科書通りに、上下に動かしてあげる❤,If a boy's penis experiences this repeatedly; they're sure to get used to breast stimulation; don't you think? Come on~❤ First; I'll move up and down; just like the textbook said.❤
はひっ、あっ、あああっ、すごいっ、きもちよくてぇっ❤,Hah; ah; ahhh... Amazing... It feels so good!❤
シルヴィアさんはその大きな胸を巧みに動かしてくる。サイズ頼りの雑なパイズリではなく、非常に丁寧で繊細な動きだ。,Sylvia moved her large breasts with incredible skill. This wasn't a crude paizuri relying solely on size; but one full of very careful and delicate movements.
今まで受けたどんな快感よりも、彼女のオーソドックスな上下の動きに喘がされてしまう。これが基本を忠実に身につける、優等生の実力なのだろうか。,It was more than any pleasure I'd experienced before. I found myself moaning from even just her straightforward up-and-down motions. Was this the skill of an honor student who had faithfully mastered the basics?
うふ、淡々と擦ってあげるだけじゃなくて、\nあなたの弱いところを見つけて、\nそこに時折刺激がいくように力加減を調整してるのよ❤,Ufu; I'm not just rubbing you mechanically; you know. I'm finding your weak spots and adjusting the pressure so stimulation hits there in gentle intervals!❤
言うのは簡単だけど、これ結構難しいの❤\nあなたは分かりやすく喘いでくれるからやりやすい方だけど❤\nくすくす❤,It's easy to say; but this is actually quite difficult.❤ Though you make it easier by moaning so clearly~❤ *Giggle*❤
うぐっ、だってきもちよすぎてっ❤あひっ、あああっ❤❤,Ugh; but it feels too good!❤ Ah; ahhh!❤❤
シルヴィアさんに言われて僕は声が漏れないように我慢しようとする。しかし、そんな我慢は彼女が胸を大きく一回ズリおろすだけで脆く砕かれてしまう。,After Sylvia pointed this out; I tried to suppress my voice; but my restraint crumbled without much resistance with just one big pump of her breasts.
ペニスを上から下へと爆乳になでられるたび暴力的なまでの快感が襲う。体は無意識に跳ねて、頭も一瞬で真っ白になり、声を抑えることなどまったくできない。,Each time my penis was stroked from top to bottom by her massive tits; violently intense pleasure assaulted my body. My hips bucked unconsciously; my mind went blank in an instant; and I couldn't suppress my voice at all.
あらもう腰が浮いてきたわ❤\nうふふ、禁欲はしてないはずなのに、\nそれでもあっさりわたしのパイズリに負けちゃうんだ❤,Oh my; your hips are already lifting.❤ Ufufu; you aren't even pent up anymore; and yet you're still so easily defeated by my paizuri~❤
いいの？無敗のルーキーくんが、二回も負けて。\nほらほらほら❤がんばって我慢して、\nあなたの強いところ見せつけたら？,Is this really okay? The undefeated rookie losing twice like this. Come on~❤ Try harder to endure. Why don't you show me how strong you really are?
あひっ、ああっ、きもちいいっ❤❤\nむりっ❤むりっ❤こんなの、こしがとけてっ❤❤あああっ❤❤,Ah; ahh; it feels good!❤❤ No way.❤ I-I can't...!❤ M-my hips are melting!❤❤ Ahhh!❤❤
くす❤かわいい喘ぎ声❤\nいいわ、今回もわたしの勝ちということで、この谷間に出してしまいなさい❤,*Giggle*❤ Such cute little moans~❤ Fine; I'll take this as another victory for me; so go on and cum in my cleavage.❤
無敗のルーキーくんの二回目の黒星、\nそれもわたしに付けられちゃうわね。うふふ❤,The undefeated rookie's second loss; and it's to me again. Ufufu~❤
あへぇっ、でるっ、あああっ❤❤,Ahhh; I-I'm cumming! Ahhh!❤❤
まったく、胸がどろどろだわ❤\nん、さすがは無敗のルーキーくん、良質な精液ね。\n魔力濃度がすごい…❤,Oh my; you got my breasts all sticky.❤ Mmm; as I'd expect from the undefeated rookie; such quality semen. The magical power concentration is incredible...❤
で、どうだったかしら？\nあなたにとってパイズリに耐える練習になった？,So; how was that? Did it serve as practice for enduring paizuri?
あう、あうう・・・❤❤,Ah; ahhh...❤❤
ふふ、その顔を見る限り、あまり耐久力は上がってなさそうね❤\n完全にとろけた顔で、無防備にペニスをひくひくさせてる。\nまるでもっと挟んでっておねだりしているみたい❤,Fufu; judging by that face; your endurance didn't improve much at all; did you?❤ Your expression is completely melted; and your cock is twitching so defenselessly. It's like you're begging me to milk you some more~❤
教科書のやり方とは別に、後輩の子たちに聞いたやり方もあるの。\nエッチな技が上手な子たちから聞いてきたから、\nきっとこのパイズリも気持ちいいはずよ❤,In addition to the textbook methods; I also know techniques I learned from my underclassmen. Since I heard them from girls skilled at sexual techniques; this paizuri should feel amazing; too!❤
わたしなりに基本的な動きと組み合わせてアレンジしてあるから、\nどれぐらい効果的かあなたで試させてもらうわね❤\nほら、ベッドでダウンしているあなたの腰を、おっぱいで捕まえて…❤,I've combined them with some basic movements in my own way; so let me use you to test how effective they are; okay?❤ Here; while you're down on the bed; I'll capture your hips with my breasts...❤
うふふ、今度は最初から激しくだぷだぷ動かしてあげる❤\n左右交互にすりつぶしたり、\n亀頭だけごしごしこすったり、色々してあげるわ❤,Ufufu; this time I'll move more vigorously from the start with big; bouncing motions.❤ I'll alternate grinding left and right; rubbing just the head roughly; and all sorts of other things~❤
あら、話を聞いてさっそくペニスが反応してる❤\nうふふ、これは模擬試合みたいなものなんだから、\nそんな風にパイズリを楽しんじゃダメなのよ❤,Oh my; your penis is already reacting from just hearing about it.❤ Ufufu; this is supposed to be like a mock battle; you know. You really shouldn't be enjoying my paizuri this much!❤
ま、もうすっかりおっぱいでメロメロみたいだし、\nこうなったら男の子にはどうしようもないのかしらね❤\n男の子ってなんでこんなに快感に弱いのかしら❤くすくすくす❤,Well; you're already completely head-over-heels for my breasts; so maybe boys just can't help themselves when they get like this.❤ Why are boys so weak to pleasure anyway?❤ *Giggle* Ufufu~❤
僕がクタクタになって動けなくなるまで、シルヴィアさんのパイズリは続けられた。あまりに巧みなその動きに僕は終始翻弄されっぱなしで、ほとんど我慢もできずに何度も射精させられてしまったのだった。,Sylvia continued her paizuri until I was completely exhausted and unable to move. Her movements were so skillful that I was left completely overwhelmed the entire time; barely able to endure; and made to ejaculate multiple times.
それから数週間後,Several weeks later
すっかりシルヴィアさんの虜になった僕は、学園に足しげく通うようになっていた。,Having fallen completely under Sylvia's spell; I began frequenting the academy.
あ❤{主人公}さんじゃないですか❤,Oh!❤ If it isn't {主人公}!❤
今日も来たんだ❤,You came again today~❤
は、はい・・・。あのシルヴィアさんは・・・？,Oh uh; yeah... Um; i-is Sylvia...?
さあ・・・❤ちょっと分からないです❤\nね？それより・・・❤\n魔力、びゅるびゅる～ってしませんか❤今日はわたしで・・・❤,Well...❤ I don't know.❤ Hey; more importantly...❤ Don't you want to release some magical power; just spurting it all away?❤ How about I do it for you today...?❤
そうそう❤シルヴィア先輩は忙しいだろうし❤\nね？とっても気持ちよくしてあげるわよ❤,That's right~❤ Miss Sylvia is probably busy anyway.❤ Right? I'll make you feel really good!❤
二人の美少女が僕を両側から挟み込み、腕におっぱいを押し当てながら、ズボンを指でさわさわとこすり上げてくる。,The two beautiful girls sandwiched me from both sides; pressing their breasts against my arms while their fingers teasingly traced up my pants.
あぅ・・・❤だめ、です・・・❤\nきょうはぁ・・・シルヴィアさんと・・・❤ああっ・・・❤,Ah...❤ N-no; that's...❤ I-I'm supposed to meet with Sylvia today...❤ Ahh...❤
いいでしょ？ちょっとだけだから❤\nね？,It should be fine; right? Just a little bit~❤ Please?
（くすくす❤ちょろすぎ❤\n一瞬でとろけてるんだ❤前試合したときより弱くなってるんじゃない？\nマーゾ❤）,(*Giggle*❤ He's way too easy.❤ He crumbled in an instant.❤ Isn't he weaker than when we battled before? What a masochist~❤)
そうそう❤キャミーちゃんの言う通り❤\nちょっとだけですよぉ・・・❤くすくす❤\n,That's right!❤ Like Cammy said.❤ Just a little bit...❤ *Giggle*❤
（本当にちょろいです❤\nあーあ。私が勝ってたら独占できたのになぁ・・・❤）,(He's so easy.❤ Awh man. If I had won; I could have had him all to myself...❤)
・・・そこまでにしてもらえるかしら？\n{主人公}から魔力を搾っていいのはわたしだけだと\n言い渡していたと思うけれど？,... Could you stop right there? I believe I told you that only I am allowed to extract magical power from {主人公}?
あ、シルヴィアさん・・・！,Ah; Sylvia...!
げ・・・！,Crap...!
二人には感謝しているわ。あなた達が教えてくれた技術で\n{主人公}とお近づきになれた面もあるのだから。\nでも、それとこれと話は別よ。,I'm grateful to you two; in a way. It's partly thanks to the techniques you taught me that I was able to get so close to {主人公}. But that's a separate matter from this.
わたしの{主人公}を奪う気ならどうなるかわかるわよね？,If you're planning to steal my {主人公} from me; you know what will happen; right?
ち、違うんですよ？私達はスキンシップをとってただけです・・・。\nシルヴィアさんから{主人公}さんを奪おうだなんて、\n考えるはずないじゃないですかー。あはは・・・。,N-no; that's not it at all! We were just being friendly... We'd never think of trying to steal {主人公} from you; Sylvia! Ahaha...
そ、そうですよ。シルヴィア先輩♪\nやだなあ。勘違いですよぉ。\nほんの軽いあいさつじゃないですか～。,Y-yeah; that's right; Miss Sylvia~♪ Come on; it's just a misunderstanding. It was just a pleasant greeting; wasn't it?
くす・・・。わたしに駆け引きを仕掛けるなんて、\n二人共ずいぶんと強気ね。\n今ならまだかわいい冗談で済ませてあげるわ。,*Giggle*... Trying to play me like that? You're both quite bold; aren't you? Still; I'll let this pass as a cute joke for now.
でも、これ以上は看過できないわよ？\nいくら信頼している同級生と可愛い後輩でも、\nそれ相応の覚悟はしてもらわないと・・・ね？,But I can't overlook anything more than this; understand? Even if you're my trusted classmate and cute underclassman; you'll need to prepare yourselves accordingly... Got it?
！！\nす、すみませんでした！もうしません～！,!! S-sorry! We won't do it again!
あ！？キャミーちゃん！？\nご、ごめんなさい！私ももうしません～！,Ah!? Cammy!? S-sorry! I won't do it again either!
二人が足音を立てて走り去っていく。彼女たちの誘惑に翻弄されていた僕は、申し訳なさそうにシルヴィアさんの方を見た。,The two girls ran off; footsteps echoing down the hall. Having been swayed by their temptations; I looked apologetically toward Sylvia.
まったく。闘技場では昔勝てた相手でしょうに。\nわたしとエッチなことを繰り返すうちに、\n逆に耐性がなくなっちゃったのかしら。,Really now. You used to be able to beat opponents like them in the arena. Has doing naughty things with me for so long actually made you lose your resistance?
いまもちょっと誘惑されただけで、そんなにズボンを膨らませて…。\nえ？わたしに会うのが楽しみで元から少し大きくなってた？,Even now; just being tempted a little has your pants bulging out like that... Huh? You were already a bit hard because you were looking forward to seeing me?
はあ、なんとも情けない言い訳ね。\nまあいいわ。それならその楽しみにしてたエッチで\nしばらく他の女に興味が持てなくなるぐらい搾り取ってあげる❤,*Sigh* What a pathetic excuse. Well; fine then. If that's the case; I'll give you what you want; and drain you so completely you won't be able to take interest in any other women for a while~❤
