default
フラワー,Flower
あはは❤キミもわたしの大きいおっぱい見てたら我慢できなくなっちゃった？,Ahaha～❤ Are you also unable to control yourself after seeing my huge boobs?
我慢なんてする必要ないんだよー？キミも仲間みたいにおっぱい見ながら好きなだけシコシコしていいよ❤,You don’t have to resist; you know? You’re also free to jerk off while looking at my breast～❤
あはは❤キミもすごい量❤谷間を見せてるだけなのに、勝手にシコシコしてエナジーを捧げてくれるなんて、本当にちょろい❤,Ahaha～❤ It’s also a huge load～❤ Even though you’re only looking at cleavage; you jerked off to your opponent and offered your energy～❤ You really are a pushover～❤
あーあ、仲間のマスターもいるのにオナニーで自爆しちゃった❤人間の男っておちんちんに素直すぎでしょ。バカみたいだね❤くすくす❤,Aww～❤ You sabotaged yourself and masturbated despite your friend being here～❤ Human males are too honest with their dicks. You look just like a fool～❤ Teehee～❤
あは、パンツですりすりしているだけなのに、もうイっちゃったんだー❤サキュバスにこんな恥ずかしい形で負けるなんてみじめー❤くすくす❤,Aha; I just rubbed my panties and you came from that～❤ Losing to a succubus in such an embarassing state; isn’t that just so miserable?❤ Teehee～❤
んふふ❤おっぱいにたくさん出てる。パイズリに全然我慢できなかったねー。くすくす❤,Fufu～❤ You came so much on my boobs. I guess the titjob was just that unresistable. Teehee～❤
キノコ使いのサキュバスは、主人公が動けなくなったのを見ると、スライム使いのサキュバスと戦うエルルに手下のキノコ娘たちを差し向けた。,The mushroom-using succubus sent her mushroom subordinates to help the slime-using succubus that is fighting against Eruru.
ふたりのサキュバスに挟み撃ちをされてしまったエルルに成すすべはなく、あっという間に組み伏せられてしまう。,Attacked on both sides by 2 succubi; Eruru is at a complete loss and held down by them in no time.
必死の抵抗を試みるエルルだったが、スライム使いのサキュバスに唇を奪われ、おとなしくなってしまった。彼女がどうなってしまうのか。僕にはわからない。,She tried to desperately resist; but the slime-using succubus stole a kiss from her and she quickly turned silent afterwards. I don’t know what will happen to her.
僕はエルルが連れ去られていく様子を、快感にしびれぼんやりとした頭の中で、ただ見ていることしかできなかった。,With my head still numb and hazy from pleasure; I could only watch as Eruru is taken away.
そんな・・・。エルルさん・・・。,No... Eruru...
くすくす❤マスターくんがわたしに負けたせいで仲間の女の子も捕まっちゃったね❤,Teehee～❤ It’s your fault for losing that she got caught～❤
あの子がどうなるのか気になるの？自分でオナニーして負けちゃったくせに❤いまさらカッコつけても遅いんじゃないのかなー❤,You wanna know what’ll happen to that girl? Even though you jerked off on your own and lost～❤ It’s too late to act cool at this point～❤
あの子がどうなるのか気になるの？おっぱいに負けてどぴゅどぴゅしちゃったくせに、いまさら仲間のことを気にしても遅いんじゃないかなー❤,You wanna know what’ll happen to that girl? Even though you lost to my boobs and splurted everything out; it’s too late to worry about your friend～❤
あの子がどうなるのか気になるの？パンツ擦られて射精しちゃう、よわマゾのくせに❤いまさらカッコつけても遅いんじゃないのかなー❤,You wanna know what’ll happen to that girl? Even though you’re a weak masochist that came from being rubbed by my panties～❤ It’s too late to act cool at this point～❤
どうせマスターくんは今からわたしに吸い殺されちゃうんだから。考えたってムダ❤,Mr. Cardmaster will be sucked to death by me so there’s no point thinking about it～❤
ほら、まずはおちんちんをおっぱいで挟んじゃいまーす❤ぎゅ～っ❤,Here; first of all I’ll squeeze your dick between my breast～❤ Squeeze～❤
ああ・・・❤やわらか・・・❤,Ahhh...❤ So soft...❤
あーあ、マスターくんの顔とろけちゃった❤ちょっとパイズリされただけでとろけっちゃうよわよわおちんちんで、よくサキュバスと戦おうと思ったね？,Aww; this cardmaster’s already melting from the pleasure～❤ Did you really think you could fight a succubus with such a weak dick that gets like this from the slightest touch of my breast?
仲間の女の子を捕まえたわるーいサキュバス相手なのに、あん❤あん❤って喘ぐことしかできずに、腰がびくびくしちゃってる。もっとパイズリされたいんだよね？なさけなーい❤,Even though your ally got caught by a bad succubus; the only thing you’re doing is scream “Ahhn～❤ Ahhn～❤” and shake your hips. You want my breast to squeeze you even more; no? So pathetic～❤
わたし、あの子にごめんなさいした方がいいと思うな。そう思わない？ねぇ❤ねぇねぇ❤,If you ask me; you should be apologizing to that girl.\nDon’t you think so? Hey; answer me～❤
あうっ❤ううっ・・・❤,Ahh～❤ Ugh...❤
ボクのちょろマゾおちんちんのせいですって❤ごめんなさいって❤ほーら、早くあの子に謝って❤,Say “It’s because I have a pushover masochist dick～❤ I’m so sorry～❤”.\nCome on; hurry up and apologize to her～❤
はううっ❤、ごめっ❤エルルさっ❤ごめんなさい・・・❤,Hauuu～❤ I...❤ Eruru...❤ I’m so sorry...❤
あはは、マスターくん。泣きそうな顔になってる❤いまさら罪悪感でも感じてるのかな？もう手遅れなのに。,Ahaha; this cardmaster ended up bawling his eyes out～❤\nAre you starting to feel guilty now? But it’s too late for that.
精液ってねぇ、心の中がぐちゃぐちゃの時の方がおいしいんだよ？いまのマスターくんの精液はとってもおいしそう❤,Did you know that your semen tastes much better when you’re in deep anguish? Well; right now your semen looks very appetizing～❤
罪悪感があってもさぁ、おちんちんおっぱいでズリズリされたら、気持ちよくて気持ちよくてどうにもならないんだよね❤,Even though you’re feeling guilty; you still couldn’t help but to enjoy it when your dick gets squeezed by my breast～❤
わたしのおっぱい❤とっても柔らかいもんね❤この前挟んであげた村の男の人もすぐにあへぇ❤ってなさけなーい喘ぎ声あげちゃったけど、マスターくんも同じ❤,My breasts are very soft; aren’t they? The previous villager I squeezed with these breasts also immediately went “Ahiee～❤”; just the same like you～❤
頑張って修行してきたのに普通の人と変わらないんだよ？くすくす❤今までの努力、みーんな無駄だったのかもねー❤,Even though you’ve trained really hard; in the end you’re no different than your average villager. Teehee～❤ Maybe all your hard work up to this point was pointless～❤
む、むだじゃっ・・・❤あっ❤うひあっ、やめっ❤,I-It’s not pointless...❤ Ahh～❤ Hyaa; stop it～❤
違うっていうなら早く反撃してみせてよ❤ほらほら❤はーやーくー❤はーやーくぅ❤,If I’m wrong; then fight back～❤ Hora; hora～❤ Come on～❤ Fight back～❤
いつまでもわたしにパイズリされてないで❤おちんちんの先っぽ、いっぱいズリズリされてないでさぁ❤,How long are you gonna let me squeeze your dick～❤\nCome on; don’t let me rub the tip of your dick～❤
あっ、あひぃっ❤あぐぅ、ううっ・・・❤,Ahh～❤ Ahiee～❤ Agh～❤ Uuu...❤
あはは❤自分から腰、へこへこしちゃってる❤これが反撃なの？もっと気持ちよくしてーって、言ってるだけじゃないのかな❤,Ahaha～❤You’re thrusting on your own now～❤ Is this supposed to be you fighting back? It looks more like you’re asking to be pleasured even more～❤
だって・・・❤うっ❤ううっ❤きもち、よすぎてぇ・・・❤,But...❤ Uuuu～❤ It feels too good...❤
あーあ、完全に顔がとろけちゃった❤おっぱいに降伏❤仲間も裏切って、マスターとしての頑張りも捨てて、へこへこパイズリおねだり❤,Aww; you’ve been completely charmed～❤ You surrendered to my breast～❤ Betrayed your ally; and threw away all your hard work just to beg and thrust yourself into my breast～❤
もう限界だね❤ちょっとパイズリしてあげただけなのに、ちょろマゾおちんちんがビクビクしてる❤射精１０秒前って感じ？,Looks like you’re at your limits～❤ I wanted to squeeze you even more with my breast; but looks like your pushover masochist dick is already twitching～❤\nMaaybe you’ll last for another 10 second?
わたしってとってもやさしいからさー、きもちよーく射精できるるように思いっきりぎゅ～ってしてあげるね❤,I’m a very kind succubus～ So I’ll make sure to squeeze your dick and make that ejaculation feels so good you’ll never ever forget it～❤
マスターくんも自分で腰、突き上げて・・・おっぱいの中に全部だして❤ほら、イケ❤マーゾ❤,Come on; thrust your hips... let it all out on my breast～❤\nHora; hora～❤ Cum; you masochist～❤
あへぇ❤❤あっ、でる、あああっ・・・❤,Ahnn～❤❤ I’m cumming; ahh...❤
あひいっ、とま、とまらな、あへぇあっ・・・❤,Ahiee; I can’t stop... Hieee～❤
これで打ち止めかな？おっぱいの中、べとべとになっちゃった❤んー❤魔力の質もいいし、仲間を裏切った罪悪感でいい味してる❤,So was that everything? My breast is all sticky now～❤ Mmm～❤ Not only is it high quality; the regret over betraying his own ally makes it taste all the better～❤
このまま吸い殺しちゃおうと思ったけど、これならお持ち帰りしてもいいかも。マスターくんの泣きそうな顔、面白かったし❤,I was planning on draining him to death; but maybe I’ll take him back instead.\nThis cardmaster’s bawling face was just so hillarious～❤
よいしょっと。そうだ❤帰ったらあの子の前でしてみようかな❤とっても楽しそう、あはは❤,There we go! Oh; right～❤ When I get back; I should do him in front of that girl～❤\nI can’t wait; ahaha!❤
こうして主人公は、探索中に遭遇したキノコ使いの淫魔に負け、エルルと共に連れ去られてしまった。,Thus; the protagonist lost to a mushroom-user succubus during the investigation. Both the protagonist and Eruru were then taken away.
ギルドが異変に気付いた時には遅く、主人公たちの足取りは完全に途絶えてしまっていた。,When the guild realized something was wrong; it was too late and their trail had completely disappeared.
その後、彼らの姿を見た者はいない。主人公の妹を探す冒険はこうして終わりを迎えたのだった。,After that; both of them were never seen again. Thus; the protagonist’s adventure to save his sister met its untimely end.
