default
パトラ,Patra
パトラはそういって、自分のふとももからお尻を指でなでてみせた。あんなに射精したばかりだというのに、あまりにエロいその光景に、完全に釘付けになってしまう。,Saying this; Patra ran her fingers from her thighs to her butt in demonstration. Even though I had just ejaculated; I found myself completely captivated by the erotic sight.
あうう・・・お、おねがいしますぅ・・・❤,Ahhh... P-please...❤
当然、この誘いを断ることもできなかった。受付さんのことも、修行でＡランクを目指していることも、完全に頭から消えてしまっていた。,Naturally; I couldn't refuse her invitation. Thoughts of the receptionist girl and my goal of reaching A-rank through my own hard work completely vanished from my mind.
そのひどく間抜けな蕩け顔を見て、パトラさんはとてもうれしそうに微笑む。,Seeing my incredibly helpless and melted expression; Patra smiled with glee.
うふふ、決まりね❤\nあなたはわたしのもの❤\nやるからにはしっかり鍛えてあげるわ❤,Ufufu; it's settled; then.❤ You belong to me now.❤ Since we're doing this; I'll make sure to train you properly~❤
こうして僕はパトラさんに稽古をつけてもらうようになった。稽古とは名ばかりで魔力を奪われるだけかとも思ったが、パトラさんは面倒見がよく、意外にもちゃんと特訓をしてくれた。,And so; my training with Miss Patra began. At first I thought it might just be an excuse to drain my magical energy; but she was actually surprisingly attentive and gave me proper special training.
しかし、カードの使い方は上達しても、パトラさんのお尻に完全に魅せられてしまった僕は、彼女に性的な訓練をしてもらうたびに、むしろ弱点を植え付けられるかのように快楽に弱くなっていってしまった。,However; while I managed to improve with cards; I had become completely enchanted by Miss Patra's butt. Each time she gave me sexual training; I became weaker and weaker to the pleasure she gave me; as if she was etching that weakness into my very being.
パトラさんが見事Cランクに上がったあとも、僕は十分な戦績を残すことはできず、今のランクで停滞する日々が続いた。心配した受付さんは僕に特訓をやめて別の修行をするべきだと諭したが、僕は聞き入れなかった。,Even after Miss Patra brilliantly rose to C-rank; I couldn't achieve sufficient results and remained stagnant where I was. The receptionist became concerned. She advised me to stop the special training and try different training methods; but I refused to listen.
パトラさんとの修行はそのときの僕にとって、すでにほかの何物よりも大事なものになってしまっていたから…。,Training with Miss Patra had already become more important to me than anything else...
こうして成長をやめてしまった僕はの冒険は、ここで幕を閉じたのだった。,And thus; I stopped growing in my talents; and my adventure came to an end.
闘技場に挑戦する(必要ランクポイント:{$needPoint}),Challenge the Arena (Required Rank Points: {$needPoint})
今はやめておく,Not now
