default
ミレーヌ,Mylene
試合が始まる前からおっぱいに見とれていただけに、\nある意味予想できた結末かもしれません。期待のルーキーも\nやはり若い男性、おっぱいには弱かったというところでしょうか。,Considering how mesmerized he was by her breasts even before the match started; perhaps this outcome was somewhat predictable. It seems that even the promising rookie was still a young man with a weakness for boobs.
胸に弱い男性マスターはミレーヌ選手相手に苦戦することが\n多いですが、期待のルーキーといえど例外ではなかったようです。\nそれにしてもちょっとあっけない敗北でした。,Male masters who are weak against breasts often struggle against Mylene; and it seems the promising rookie was no exception! Still; it was quite the swift defeat.
さすがはミレーヌ選手、{主人公}選手を胸で挟んだかと思うと、\n夢心地のまま一気に射精に追い込みました。{主人公}選手は\n放心状態、気持ちよさそうな顔で尻もちをついています。,As expected of Mylene; she got her breasts on {主人公}; and in no time; he was brought to a dreamlike climax! {主人公} is in a daze; sitting on the ground with a blissful expression on his face.
なんと{主人公}選手、ミレーヌ選手の揺れるおっぱいを見ているだけで射精してしまった！,Unbelievable! {主人公} came just from watching Mylene's bouncing breasts!
{主人公}選手も我慢の限界まで追い詰められていたとはいえ、\nまさか胸を見せつけるだけで勝利するとは、\nミレーヌ選手のあふれ出る色気はサキュバスさえも凌駕するのでしょうか！,Even though {主人公} was pushed to his limit; I never would have imagined that simply flashing her breasts would lead a win for Mylene! Her overwhelming allure might even surpass that of a succubus!
うふふ❤楽しい勝負だったわ。ありがと。,Ufufu~❤ That was a fun match. Thank you.
はぅうう・・・・。,Hahh...
腰が抜けて立てないのね。いいのよ、もう勝負は終わったのだし、\n無理に立とうとしなくていいわ。,Your legs are trembling so much you can't stand; huh? It's okay; the match is over now; so you don't need to force yourself to get up.
あ、そうだ。これをあげる❤,Oh; right. I want to give you this.❤
そういうとミレーヌは僕に一枚のチケットを手渡した。,As she said that; Mylene handed me a ticket.
わたしのお店で使える割引券よ。あなた、けっこう可愛いから気にいっちゃった。そうね、もしわたしのお店に来てくれたら・・・・。,It's a discount coupon you can use at my shop. I find you quite cute and I've taken a liking to you. So if you were to come to my shop...
ミレーヌは地面にへたり込んでいる僕に顔を近づけると、耳元に口を寄せ色っぽい声でささやいてきた。,Mylene leaned close to me as I sat on the ground; bringing her lips near my ear and whispering in a sultry voice.
あなたには特別、お店の裏でちょっとだけ、エッチなサービスしてあげる❤,For you; I’ll offer a special service... Something a little naughty in the back of my shop...❤
ふふ、顔が真っ赤ね。何されるか想像しちゃった？それじゃバイバイ。,Fufu; your face is all red. Were you imagining what I'd do to you? Well then; bye-bye~
試合のあと、宿屋に戻った僕は、彼女に手渡されたチケットを持って悶々としていた。,After the match; I returned to the inn and kept restlessly thinking about the ticket she gave me.
僕は試合に負けたのだ。当然、ミレーヌさんの酒場に行っている暇などない。少しでも修行をしなくては。,I lost the match. Naturally; I don't have time to be going to Mylene's tavern. I need to focus on training; even if just a little.
ましてエッチなサービスなど受けている場合では…。,And besides; it's not like I have time to be receiving naughty services...
ううっ・・・・。,Ohhh...
だめだ、どうしても彼女の胸が頭の中に浮かんできてしてしまう。試合中に受けた快感がぶり返してきてどうしようもなくムラムラしてくる…。,No good; I just can't stop thinking about her breasts. The pleasure I felt during the match keeps coming back; leaving me unbearably aroused...
僕は必死に感情を抑え、さっさと明かりを落としてベッドにもぐりこんだ。,I desperately tried to suppress my feelings and quickly turned off the lights; diving into bed.
翌朝、ほとんど寝付けなかった僕は街の中をふらふらと歩いていた。そして、,The next morning; having barely slept; I wandered through the town. And then...
いらっしゃいませー。せっかく来てくれて残念だけど、\n午前中はお店は…。って、あら？,Welcome~  I'm sorry; but the store is closed in the morning... Oh?
なんだ、誰かと思ったら昨日勝負したルーキー君じゃない。\n名前は確か{主人公}くんだっけ？,Oh; it's you; the rookie from yesterday's match. Your name was {主人公}; right?
ぜひ寄ってねって言ったけど、\nほんとに来てくれたんだ。うれしいー❤,I did say to drop by; but I'm surprised you really came! I'm so happy to see you~❤
ううっ、あの、これっ・・・❤,Uh... Um... This...❤
そういうと僕はミレーヌさんからもらったチケットを手渡した。,As I said that; I handed over the ticket that Mylene had given me.
ふふ、そう…❤\n昨日あれだけ出したのに、\nさっそくサービスしてもらいたくなっちゃったのね❤,Fufu; I see...❤ Even after you came so much yesterday; you're already eager for some more special service~❤
若い男の子ってまるで性欲で生きているみたい。\nでも、それだけわたしの体で気持ちよくなってくれたのかって思うと、\nちょっとうれしいわ❤,Young boys seem to live purely on their libido. But knowing my body made you feel that good... It makes me happy~❤
ほら、こっちへおいで。\n夢中にさせた責任をとってあげる。\nあ、フェアリーちゃんたち、後片付けは任せたわね。,Hora; come over here. I’ll take responsibility for making you so obsessed. Oh; Fairy girls; I'm leaving the cleanup to you.
はーい。マスター。,Yes; master!
さてと、それじゃすぐにすませちゃいましょう。あなたのココももう我慢できないんでしょ？,Alright then; let's take care of this quickly. You can't take it anymore; can you?
そういうとミレーヌさんは僕の股のところをズボンの上から優しくなでた。,As she said that; Mylene gently caressed my crotch over my pants.
ふふ、固い…❤ほら、ズボンを脱いで。胸でしてあげる❤,Fufu; so hard...❤ Come on; take your pants off. I'll pleasure you with my chest~❤
よいっしょっと❤これだけ大きいと持ち上げるのも一苦労なのよ。まあその分こうやって使い道があるからいいのだけれど。,Here we go~❤ Lifting these when they're this big is quite a task you know. But I guess it's worth it since they are so useful.
例えば、ちょっと好みの男の子を、試合のあとにわたしの虜にしちゃったりとかね。ふふふ❤,For example; I can use them to make a cute boy completely obsessed with me after a match... Like you. Fufufu~❤
あっ、ああっ・・・・❤きもちいい❤,Ah... Ahh...❤ It feels so good.❤
くすくす❤爆乳パイズリ、たまらない？\nまだ動かし始めたばかりなのに顔が蕩けっちゃってる。,Hmhmhm~❤ Isn't a titjob from my massive breasts just irresistible? I've barely started to move and you already have such a blissful look on your face.
あなたがサキュバスに勝ったってのはほんとなんでしょう？\nそれなのに、Ｄランクマスター相手にそんな蕩け顔しちゃって、\nかわいいわね。,I heard you defeated a succubus; right? And yet; you're making that lewd face while getting pleasured by a mere D-rank master. How adorable.
わたし、魔力が足りなくて上級モンスターも出せないのよ。\nあなたは上級モンスターを何体も召喚できる、期待のルーキー。\nでも・・・。,I can't even summon advanced level monsters because my magic power is lacking. Meanwhile; you're a promising rookie who can summon multiple advanced level monsters. But...
勝ったのはわたし。わたしのおっぱい❤\nあなたは魔力で負けている相手におっぱいひとつで負けちゃったの❤,I was the winner~ Or I suppose I should say that my breasts won.❤ Because of them; you lost despite your superior magic power.❤
うっ、ううっ・・・・❤それはぁ❤,Uh; ahh...❤ It's...❤
だって、こんなの・・・。きもちよすぎてぇ・・・❤,But this feels... Way too good...❤
ふふ❤ありがと❤\nパイズリにはわたしも自信があるの。\n挟んであげたら、みんな全然耐えられない❤,Hmhmhm~❤ Thank you!❤ I'm really confident in my titjobs. Once I start squeezing; no one can resist.❤
あまりいじわる言ったらかわいそうよね。\nせっかくわたしのところに甘えに来てくれたのだもの。,I guess I shouldn't tease you too much; though. After all; you've come all this way to be pampered by me.
試合だけじゃ満足できなくて、もっと気持ちよくしてぇって、\n朝からおねだり❤ムラムラしながら\nこの酒場まで歩いてきたって思うと、ちょっと愛おしいわ❤,You couldn't get enough from the match; so you came begging for more pleasure early in the morning.❤ Just thinking about how horny you must have been when you walked all the way to this tavern... It's a bit endearing~❤
ほらほらほら。おっぱい早くしてあげる。\nむにゅっておちんちんを押し包んで、激しくパイズリ・・・❤,Alright; alright... I’ll speed up the pace now. I'll press and envelop your cock snugly in my chest; giving you an intense paizuri...❤
あっ、あっ、あうううぅ・・・・❤,Ah... Ahh... Ahhh...❤
もうイっちゃう？\nいいわよ❤まだ全然時間たってないけど、\n我慢できないのよね。,Are you about to cum already? That's fine~❤ Even though I just started; you can't hold back; can you?
おっぱいでこすられるたびに、\n腰がビクンビクンって震えて、\nおちんちんが根元から先っぽまで全部気持ちよくなって・・・❤,Your hips tremble every time my breasts rub you~ From the base to the tip; I'll make sure your entire cock feels the pleasure...❤
イク❤出ちゃう❤谷間の中にたくさん出しちゃう❤\nまだ朝なのに、だいじなエナジー全部射精しちゃう❤\nほら、ほら、ほら❤,Cum~❤ Let it all out!❤ Shoot so much inside my cleavage!❤ It’s still morning; and yet you're going to ejaculate all your precious energy; aren’t you?❤ More! Shoot it all out!❤
あひぃ・・・・❤,Ahii...❤
あん、止めたあともドクドク出てる❤\nおちんちんの中にある精液、ぜーんぶ出しちゃってるわ❤,Mmm; even after I stopped; it's still pulsing and leaking.❤ You're cumming every last drop of semen from your cock.❤
すっかり谷間がどろどろ。\nとっても喜んでもらえたようで、うれしいわ。\nうふふ❤,Your cum has made my cleavage all messy~ I'm glad you enjoyed yourself so much. Ufufu.❤
ねえ、朝からそんなに出したら\n今日はもうまともにカードを使えないんじゃない？,Hey; if you release that much in the morning; won't you struggle to use your cards properly for the rest of the day?
あなた、まだまだ修行中なんでしょ？それなのに、\n大事な一日、わたしのおっぱいで無駄にしちゃったわね。,You're still training; aren't you? Yet; you've gone and wasted an important day on my tits.
ううっ、気持ちいいよぉ・・・❤もっとぉ・・・・❤,Ahh; it feels so good...❤ More...❤
もう、そんな顔でおねだりしてもダメよ。\nわたしだって忙しいんだから、\nタダでサービスしてあげるのは今回だけ。,Oh come on; even with that pleading face; my answer is no. I'm busy too; you know. This free service is just a one-time thing.
あ、そうだ。こういうのはどう？\nあなたがわたしのお店でバイトするの。,Ah; I know! How about this? You can work part-time at my shop.
お店の手伝いをしてくれれば、\nたまに気が向いたとき\nまた気持ちいいことしてあげる❤,If you help out at the shop; I'll occasionally reward you with some more pleasure whenever I feel like it~❤
昨日はあなたに勝ったおかげで大繁盛だったのよ。\n期待のルーキーくんを倒したってことで\nずいぶん店の名前が有名になったわ。,Thanks to beating you yesterday; the shop was bustling with customers. Defeating a promising rookie like you really boosted the shop’s reputation.
同じぐらいのお客さんが来たらこれから一人じゃ大変だし、\nあなたならわたしのフェアリーちゃんたちに魔力供給もできるわよね。\nうん、我ながらいいアイデアだわ。,If more customers come; it'll be tough to manage alone. Plus; you can supply magic to my fairy girls. Yeah; I think it's a brilliant idea.
僕はDランクの試合で負けたばかりで・・・。このお店で働いている暇なんて、ほんとうは・・・。でも・・・。,I just lost a D-rank match... I don't really have time to work at this shop... But...
ね、おねがい❤ほら、見て❤,Please; won't you?❤ Here; look at this~❤
（あううっ、おっぱいっ❤❤えろすぎてぇ…❤❤❤）,(Ah; those breasts...❤❤ They're so erotic...❤❤❤)
は、はい❤働きますぅ・・・❤,Y-yes... I'll work for you...❤
ふふ・・・❤ありがと。\nそれじゃあ、これからよろしくね。,Fufu...❤ Thank you. Well then; I'm looking forward to working with you from now on.
こうしてミレーヌさんの酒場で働くことになってしまった僕は、毎日を忙しく過ごした。,And so; I ended up working at Mylene's tavern; and my days became busy all the time.
酒場での仕事は夜中まで続くなかなか大変な仕事で、疲れが翌朝まで残ってしまう。また時折ミレーヌさんの召喚したフェアリーたちに魔力を吸われ、その疲労も体に残っていた。,Working at the tavern was tough; continuing late into the night and leaving me tired the next morning. Sometimes; Mylene's summoned fairies would drain my magic; adding to my fatigue.
その結果以前と比べて明らかに修行の時間は減り、街中で他のマスターたちと戦うことも少なくなっていった。闘技場にたまに参加することはあったが・・・。,As a result; my training time clearly decreased compared to before; and I also ended up fighting other masters in town less often. Though I occasionally participated in the arena...
ミレーヌさんとの試合を見ていた他のマスターから、胸を使った誘惑を繰り返され、疲れが残って本調子じゃない僕はどうしても一方的に翻弄されてしまい、敗北を重ねていった。,Other masters who had watched my match with Mylene would repeatedly tempt me with their breasts. Being fatigued and not at my best; I was easily overwhelmed and I helplessly suffered defeat after defeat.
それでも、たまにミレーヌさんがくれるご褒美を考えれば、僕はこの生活をやめられなかった。給料は少し安いが一応支払われるし、上を目指さないのなら決して悪い生活ではない…。,However; thinking about the occasional rewards Mylene gives me; I couldn’t quit this lifestyle. The pay is a bit low but still enough to get by; and if I wasn't aiming higher; it wasn't a bad life at all...
今月もお疲れ様。よく働いたわね。,You've worked hard again this month. Well done.
ほら、待ち望んでいたご褒美よ❤\n優秀なカードマスターをこのお給料でバイトにできるなら、\nほんと破格よね。,Look at this... Your eagerly awaited reward~❤ Being able to hire such an outstanding card master for this salary... It's an absolute steal for me; isn't it?
一緒にこのお店を大きくしていきましょう。\n別にギルドで活躍することだけが幸せじゃないわ。\nあなたにはわたしの従業員として、ちゃんと幸せを用意してあげる❤,Let's grow this shop together. Being successful at the guild isn't the only way to find happiness. As my employee; I'll make sure you find true happiness...❤
はひぃ・・・❤ミレーヌさん、すきぃ・・・❤,Ohh...❤ Mylene; I love you...❤
ふふ。わたしもあなたのこと嫌いじゃないわよ❤\nほら、ほら、ほら・・・・❤,Fufu~ I don't dislike you either!❤ Now; feel my breasts squeeze you more... And more... And more...❤
こうして僕はAランクマスターになるという目標を忘れ、妹の救出も何かも投げ出して、ミレーヌさんの酒場の従業員としてその後の人生を過ごしたのだった。,In this way; I forgot my goal of becoming an A-rank master and abandoned my mission to rescue my sister. I spent the rest of my life as an employee at Mylene's tavern.
あなたが先攻ね。\nわたしのおっぱいの気持ちよさ、知っているでしょう？\n今日は我慢なんてしないで負けちゃってもいいのよ？くすくす❤,You're up first. You already know how good my breasts feel; right? It's okay if you can't hold back and end up losing today. Hmhmhm~❤
特にあなたみたいなおっぱいに弱い男はイチコロ❤\nほらぁ、おっぱい揺らしてあげるから、\nいっぱい興奮して頭バカになっちゃえ❤うふふ♪,Men don't stand a chance against me; especially men like you who are weak for boobs.❤ Look; I'm shaking my tits for you; so get excited and lose your mind completely~❤ Ufufu~♪
あっ・・・❤あああっ❤おっぱいがえろくてぇ❤\nがまんできないっ・・・❤,Ah...❤ Ahh!❤ Your breasts are so erotic.❤ I can't hold it anymore...❤
あん❤いきなり暴発しちゃうなんてびっくりしたわ❤\n勝手にシコシコして、自分でイっちゃったの？\n谷間がどろどろにされちゃった❤,Ahn~❤ I'm surprised you went off so suddenly❤ Did you really just stroke yourself and cum on your own? Now you’ve gone and made my cleavage all messy.❤
闘技場のときもこんな風におっぱいにかけてもよかったのよ？\nあは、白くなったおっぱい見てまた勃起させてる❤\nルーキーくん、かわいいわね❤,You know; it would have been just fine to cum on my breasts like this in the arena too. Haha; are you getting hard again from seeing my breasts all covered in white?❤ You're a cutie; aren't you; rookie?❤
ルーキーくんは強いのに手下のあなたはダメね❤\nおっぱい見てるだけで負けるなんて、\n弱いモンスターくん❤くすくす❤,Even though your master is strong; you're completely useless. Just by watching my breasts; you end up losing... You really are a weak little monster.❤ Hmhmhm~❤
あっ・・・❤あああっ❤がまんできないっ・・・❤,Ah...❤ Ahhh...❤ I can't hold back anymore...❤
あん❤あなたもおっぱいでオナニー？\n仲間の後に続いてシコシコして、自分から負けちゃうなんて❤\nそんなにこの谷間をどろどろにしたかったのかしら❤,Ahn~❤ Are you also masturbating to my breasts? Following your companions example and stroking yourself; you'll be defeated by your own desire.❤ Did you really want to make my cleavage that messy?❤
闘技場のときは強かったのに、今日は全然ダメみたいね❤\nまだおちんちん固いみたいだけど、\nおっぱいでもっとシコシコしちゃう？うふふ❤,Even though you were strong in the arena; today you seem completely done for~❤ Your cock is still hard; though. Do you want me to stroke it more with my breasts? Ufufu~❤
これだけ自滅してくれるなら、今日はルーキーくんに勝てるかしら❤\n他の男の子たちもわたしのおっぱいに負けてみる？\nシコシコ気持ちいいわよ？くすくす❤,If you all keep bringing yourself to ruin like this; maybe I'll actually beat the rookie today~❤ Do you other boys want to lose to my breasts too? Stroking yourself will feel so good; you know? Hmhmhm~❤
あは❤ホントにオナニーで負けちゃうんだ❤\n揃いもそろっておっぱいで自滅しちゃうなんて、\nずいぶん理性が弱いのね❤,Ahaha.❤ So you're really going to lose just by masturbating!❤ You boys all end up self-destructing over my breasts. Your self-control is just too weak; huh?❤
闘技場のときは強かったのに、今日は全然弱くて驚いちゃう❤\nほら、まだおちんちん固いみたいだけど、\nおっぱいでもっとシコシコしちゃう？うふふ❤,You were so strong in the arena; so I'm surprised at how weak you are today.❤ Look; your cock is still hard. Do you want me to stroke it even more with my breasts? Ufufu~❤
